"split","model","n_patients","logloss_mean_prob","logloss_median_prob","logloss_q90_prob","logloss_q99_prob"
"test","Deterministic EM-MMIL",11,1.07674230792563,1.67838855486566,0.669162007086582,0.245082618147004
"test","MCEM-MMIL",11,1.0650518433183,1.66030164279836,0.638353147803795,0.205566059471951
"test","Naive inherited-label classifier",11,0.49234319041062,0.486977462934188,0.577348458887474,0.781435944988697
"train","Deterministic EM-MMIL",33,1.0254704139874,1.7205362260946,0.495565993481417,0.25516281385604
"train","MCEM-MMIL",33,1.02106471158048,1.71626237815863,0.49681616715355,0.256786220051848
"train","Naive inherited-label classifier",33,0.452448128028369,0.437501060210449,0.527718711745868,0.694523304992522
