"iter","delta","mean_q_advanced","mean_q_mc_advanced","train_logloss_inherited"
1,0.0408204145856893,0.3,0.302538177988415,0.975423703679309
2,0.0274478489000381,0.3,0.301305950500263,0.977968484033935
3,0.0224940490287199,0.3,0.298873091100579,1.00401204581843
4,0.0211508464834716,0.3,0.299378620326488,1.03385372275489
5,0.0168023030018594,0.3,0.300610847814639,1.06234811913943
6,0.0149763303693866,0.3,0.300389678778304,1.09721798713165
7,0.0143207058362285,0.3,0.301400737230121,1.13014900015533
8,0.0137444417095963,0.3,0.29826224328594,1.16803733708323
9,0.0142682656133675,0.3,0.300568720379147,1.20115572711509
10,0.0141934582222587,0.3,0.298104265402844,1.24600028790622
11,0.012835596371097,0.3,0.29928383359663,1.27717989243251
12,0.0119488544298037,0.3,0.299399684044234,1.31549311318392
13,0.0112435509077403,0.29860681997729,0.301758820431806,1.34199172021291
14,0.00892055913167975,0.291585103108501,0.297872564507636,1.37803995062011
15,0.00832217083091162,0.288988803529484,0.291669299631385,1.41363250889975
16,0.0071214568284506,0.288977674891617,0.290468667719853,1.44199614271662
17,0.00695150369989605,0.288162902916529,0.288804634017904,1.4580332916579
18,0.00696291163463535,0.288620488505474,0.289457609268036,1.47207035478315
19,0.00670763394926864,0.288650696833428,0.289394418114797,1.49739207965349
20,0.0072288790157961,0.28886611445755,0.288509741969458,1.52661424922476
21,0.00696319480999334,0.288946782706839,0.288088467614534,1.54736229495441
22,0.00606539840118872,0.28872084449952,0.287130068457083,1.57696974478086
23,0.00577579837343893,0.290394191522288,0.288457082675092,1.58818991957647
24,0.00540123424824121,0.290150085257846,0.290763559768299,1.60075821145078
25,0.00580644601824344,0.290336172065737,0.290352817272249,1.62648805510597
26,0.00508516075171758,0.290913997664841,0.290121116377041,1.6682373824185
27,0.00397200388850009,0.288939003460114,0.289647182727751,1.69940705857801
28,0.00352824138635967,0.287064383469422,0.288120063191153,1.71247384565892
29,0.00390709586476522,0.2849797841948,0.286287519747235,1.75054895576836
30,0.00274140169668444,0.283451500227792,0.284044233807267,1.78294895371622
