"iter","delta","mean_entropy","train_logloss_inherited","train_accuracy_inherited"
1,0.0829028151371375,0.625892230154089,0.806341893359965,0.717433320448396
2,0.0456056910584725,0.494523515256868,0.698715838946844,0.722651720139157
3,0.0268448514188893,0.414453253461107,0.681183706284483,0.725164282953228
4,0.0172647458942896,0.363502566527495,0.700166320336837,0.727676845767298
5,0.0116927384991724,0.329627482378481,0.732374398559677,0.728836490143023
6,0.00819738675076423,0.306388489766443,0.766884816369696,0.730382682643989
7,0.00591517603918023,0.290040365111305,0.798682311470265,0.732122149207576
8,0.00438803292951288,0.278261632620502,0.826004795897994,0.733281793583301
9,0.00336217250412313,0.269538879358436,0.850086053088011,0.733281793583301
10,0.00268540015048888,0.262992375741091,0.870891796751187,0.733475067645922
11,0.00214598486762956,0.257958922317136,0.88869226414047,0.733668341708543
12,0.00164984033766908,0.254188669538518,0.902149545557116,0.735021260146888
13,0.0012899474113277,0.25137512974417,0.911944688536978,0.734827986084267
14,0.0010540542114716,0.249200778027932,0.919624712146808,0.734827986084267
15,0.000865986883624291,0.247488507288019,0.92584559417245,0.735021260146888
16,0.000735008058118777,0.24605749215332,0.931228983041932,0.735214534209509
17,0.000614849606867697,0.244918493358371,0.935606209313682,0.735601082334751
18,0.00052902701918343,0.243996408202034,0.939253961684989,0.735987630459992
19,0.000465977755627513,0.243213948360502,0.942401621825747,0.736180904522613
20,0.000418212016406074,0.24253560359011,0.945198895332006,0.736954000773096
21,0.000380127613436632,0.241942930229731,0.947694172814504,0.736567452647855
22,0.00034906982880208,0.241420387066365,0.949937295759279,0.736180904522613
23,0.000329937654110992,0.24090897913496,0.95215564769673,0.736374178585234
24,0.000304443192565631,0.24049147790412,0.953968563682452,0.736180904522613
25,0.000296242733242399,0.240045849140744,0.955925053460353,0.736567452647855
26,0.000283225793155085,0.239619397567883,0.957824853311597,0.736567452647855
27,0.000269850704182634,0.239228759393522,0.959579458412125,0.736954000773096
28,0.000259321691230275,0.238878009088806,0.961155692509765,0.736954000773096
29,0.000249247873537959,0.238565507748019,0.962579053983331,0.736954000773096
30,0.000246834755017263,0.238271624526642,0.963929856359839,0.737147274835717
