"iter","delta","mean_q_advanced","train_logloss_inherited"
1,0.046424921472686,0.3,1.06782881388473
2,0.0407942625642564,0.3,1.07739958498746
3,0.0339755941622458,0.299996499268371,1.13208423862672
4,0.0269916320814248,0.299756582275265,1.21910285175244
5,0.0209186209041543,0.299305446213543,1.32817826231003
6,0.0161525296745671,0.298688965815386,1.44935485332823
7,0.0129922115283389,0.298032405510459,1.57320022539841
8,0.0106896113577377,0.296946290359186,1.69227273267389
9,0.00852659276634844,0.29509201613508,1.80022618395764
10,0.00675047049612372,0.292824759020944,1.90508269047989
11,0.00584468720337276,0.290726063364343,2.0150405985562
12,0.00495564041541557,0.289144577926186,2.1165930360606
13,0.0042348399145877,0.2881148085864,2.20239166699031
14,0.00371763055814947,0.287495123265645,2.27271930986675
15,0.00335855859810416,0.287004730319143,2.32789434188512
16,0.00302145935040704,0.286479586039477,2.37054923379759
17,0.00264946031374306,0.285813824093183,2.40328249289605
18,0.00231237554865448,0.285139159484007,2.42621145315211
19,0.0020621731879306,0.284501640546797,2.44221008031511
20,0.00187801464939364,0.28391432323043,2.45337595614199
21,0.00175419909135622,0.28339723882071,2.46134469740972
22,0.00168428979835146,0.282971708227291,2.46735079066921
23,0.00166090978168782,0.282644719211019,2.47204951969739
24,0.00165656857915923,0.282396797757708,2.47662763327978
25,0.00165408607878049,0.282201092264524,2.48142520947135
26,0.00165158613405961,0.28204822082062,2.48663240373942
27,0.00164838171104746,0.281929913961967,2.4921293975938
28,0.00162345265639016,0.281801803338361,2.49863318291855
29,0.00157974369992499,0.281645537296803,2.50599756560101
30,0.00153922786632462,0.281484796097591,2.51546218665043
