"iter","delta","mean_entropy","mean_mc_entropy","train_logloss_inherited","train_accuracy_inherited"
1,0.0826490234370889,0.626424523747578,0.786391897736456,0.806832189228835,0.714534209509084
2,0.0460851674916649,0.494397273517004,0.589814179513246,0.698761782991333,0.721685349826053
3,0.0266430172044436,0.414387104461818,0.45948563972301,0.681170042596807,0.724197912640124
4,0.017353829861102,0.363790512116894,0.385108662987728,0.700550994970111,0.727870119829919
5,0.012138457659414,0.329101562633849,0.333658928858717,0.733664916385246,0.72825666795516
6,0.00821512083727058,0.306354676572073,0.300039268275532,0.768031439950731,0.729996134518748
7,0.00559127036970336,0.29230622286844,0.286497738482527,0.796088737554853,0.731155778894472
8,0.00440872989031874,0.280670276639082,0.269835178800342,0.821745607970411,0.731735601082335
9,0.00322887617330098,0.273510167339036,0.261438550951022,0.839841082770534,0.732315423270197
10,0.00281913066068483,0.267251736157221,0.252176964183642,0.856378516570926,0.731542327019714
11,0.00229439570026385,0.262495624747167,0.24791493057035,0.870939900059757,0.732122149207576
12,0.00197350946121899,0.25978675524234,0.243723297904624,0.880155037717218,0.733475067645922
13,0.00178776050507218,0.257015543610858,0.23934591462898,0.888851796691189,0.734441437959026
14,0.00181783420829783,0.254339871264761,0.238641541763206,0.897017403818802,0.734248163896405
15,0.00142178562162111,0.252628919596684,0.235592456570269,0.902727847014472,0.734634712021647
16,0.00143500392473985,0.250943670968783,0.23335784584965,0.908195129519195,0.734054889833784
17,0.00131989976410475,0.250244169461446,0.232374482984977,0.910577605854512,0.734248163896405
18,0.00182314538634783,0.248558084733242,0.231375159584632,0.917411263025489,0.733861615771163
19,0.00152473552327612,0.247448077553627,0.229189390987513,0.921722061160397,0.734827986084267
20,0.00166457497315958,0.24728596621212,0.231209146587561,0.922099094720833,0.735794356397371
21,0.00166536676718349,0.245194169517673,0.227737749593731,0.930729446775892,0.734634712021647
22,0.00118292378292903,0.245013705114482,0.227587554944556,0.932559308238364,0.735021260146888
23,0.00165739627866598,0.244309752318957,0.227040991150568,0.936087881029099,0.734634712021647
24,0.0013508108333576,0.245143593259429,0.228562696121637,0.934419435635178,0.734634712021647
25,0.00144963097834088,0.244773742679383,0.228328218473277,0.934711526001563,0.735214534209509
26,0.00107737266116004,0.244609024682245,0.227130838427909,0.93551231774776,0.735601082334751
27,0.00126306824585434,0.243899002287177,0.226818059328777,0.937778189536631,0.735214534209509
28,0.00136314070806387,0.244018470996056,0.228034765437979,0.938299683294926,0.736180904522613
29,0.0010767892392496,0.243242058742714,0.225725518200711,0.9418131397093,0.736180904522613
30,0.00106371285086771,0.243858400528727,0.227538504858558,0.938703417499874,0.735601082334751
