"iter","delta","mean_entropy","train_logloss_inherited","train_accuracy_inherited"
1,0.0828350957900634,0.626077065936086,0.806514492832744,0.716853498260533
2,0.0455211356626365,0.494915780017846,0.698840462085359,0.722265172013916
3,0.0267832986925844,0.415062179651102,0.680906044540365,0.72574410514109
4,0.0172226417165303,0.364419081732788,0.699525128425153,0.727290297642056
5,0.0116228021214077,0.330927460526689,0.731170513533945,0.72825666795516
6,0.00807935592609946,0.308159816145878,0.764626937248776,0.73057595670661
7,0.00572634018687855,0.292341799766046,0.79461080800311,0.731542327019714
8,0.00414474593604422,0.281143372510903,0.81970312311613,0.731155778894472
9,0.00308895309435343,0.273052247918222,0.840026157848319,0.731542327019714
10,0.00237779873418364,0.267085928878239,0.856299283125861,0.732315423270197
11,0.00189713955849038,0.262575944388271,0.86941906751062,0.732122149207576
12,0.00156146101431195,0.259083165807402,0.880111554110728,0.732315423270197
13,0.00133473601078604,0.256277134424859,0.889082255197048,0.73308851952068
14,0.00117053697736735,0.253965235302401,0.896805369978106,0.734634712021647
15,0.00103866344149188,0.252033282837712,0.903936678828913,0.734441437959026
16,0.000885267155889256,0.250423286293358,0.910013790732418,0.735021260146888
17,0.00073872297696536,0.249090862854873,0.914987093970203,0.735021260146888
18,0.000622650938684509,0.248002194944755,0.919233712247599,0.734634712021647
19,0.000530201957238012,0.247111783493677,0.922877912084015,0.735021260146888
20,0.000452581498910015,0.246384678198431,0.926001626035488,0.735021260146888
21,0.000382352900464159,0.245788209443191,0.928722808764169,0.734634712021647
22,0.000321401268057648,0.245305518715573,0.931039968167534,0.734634712021647
23,0.000272330276190573,0.244909177434877,0.933034032910548,0.734827986084267
24,0.000235127051301322,0.244562126646293,0.934849247980365,0.734634712021647
25,0.000206613639702946,0.244252303429977,0.93651141068916,0.734827986084267
26,0.000185891991960867,0.243975856341131,0.938036797494134,0.735021260146888
27,0.00016869858677484,0.243733601850491,0.939408932602054,0.734827986084267
28,0.000153235151288155,0.243529069366028,0.940604936387521,0.735021260146888
29,0.000140426971617959,0.243356059540442,0.941649460225137,0.735214534209509
30,0.000131249401533644,0.243207016850979,0.942584939318128,0.735021260146888
