"iter","delta","mean_q_advanced","mean_q_mc_advanced","train_logloss_inherited"
1,0.0539573560186641,0.3,0.302538177988415,1.00823995096436
2,0.0367559198046952,0.3,0.300494997367035,1.02771180805937
3,0.0249552262415435,0.299961663299842,0.298620326487625,1.09834909852492
4,0.0194861403618433,0.299889863373004,0.299389152185361,1.18559064478356
5,0.0138282612506285,0.299864819846901,0.300747761979989,1.26746886978091
6,0.0106340007306974,0.299766866154922,0.298599262769879,1.34613134617193
7,0.0101837952300082,0.299718533891089,0.298609794628752,1.43028656008388
8,0.0093866776416845,0.299704662850627,0.299831490258031,1.51160864048181
9,0.00783252401154655,0.299710604830581,0.300726698262243,1.58853820999458
10,0.00771051890068044,0.299630173238963,0.299578725645076,1.65152722236437
11,0.0063904001938955,0.299604121208634,0.299505002632965,1.70160343987294
12,0.00615489370430076,0.2995742689071,0.299589257503949,1.74722181260023
13,0.00580342246983186,0.299428023894752,0.298493944181148,1.79768070222254
14,0.0055102761107501,0.299365076004338,0.29839915745129,1.83386818639161
15,0.00491885966429067,0.299311652022389,0.298630858346498,1.86452166519512
16,0.00580463072588407,0.299294792597477,0.299304897314376,1.92320909711004
17,0.00464750366546804,0.299084331112882,0.298767772511848,1.95065674889206
18,0.00406712805050887,0.299029208595041,0.299167983149026,1.97617812140884
19,0.0048755669654166,0.29881125859205,0.298883622959452,1.98912632873426
20,0.00453008589786793,0.298487977942803,0.298230647709321,2.00426884834619
21,0.00359761921890299,0.298548170638442,0.298820431806214,2.02093957117993
22,0.00391286487383998,0.298349894170013,0.298578199052133,2.05521734188103
23,0.00344133206897948,0.298148569985407,0.298346498156925,2.05859808046362
24,0.00295380292240665,0.298049953434713,0.298409689310163,2.04765140883816
25,0.0040742790544853,0.298023380311785,0.298651922064244,2.07865389581296
26,0.00386407603342645,0.297342854919884,0.296977356503423,2.07796510183089
27,0.00289915521732234,0.296374491037892,0.294681411269089,2.10206651283532
28,0.003376004636638,0.297681272483683,0.298325434439179,2.1066477437456
29,0.00318348290993398,0.297632820556657,0.298515007898894,2.10614937760663
30,0.00232937348992573,0.297034831639685,0.297187993680885,2.12127607168908
