"split","model","Stage_cat","Cell_type","class","n_cells","mean_prob","q90_prob"
"test","Categorical EM-MMIL","IV","B lymphocytes","I",77,0.328353072071051,0.388620679996382
"test","Categorical EM-MMIL","IV","Oligodendrocytes","I",2,0.319686088005216,0.320362908780411
"test","Categorical EM-MMIL","IV","Undetermined","I",8,0.311710127967812,0.383213741397984
"test","Categorical EM-MMIL","IV","B lymphocytes","II_III",77,0.338641441215625,0.421882311841456
"test","Categorical EM-MMIL","IV","Undetermined","II_III",8,0.337518274388596,0.41285062299193
"test","Categorical EM-MMIL","IV","NK cells","II_III",42,0.331243623412081,0.397009603933007
"test","Categorical EM-MMIL","IV","Myeloid cells","II_III",146,0.330930924967132,0.413133636451284
"test","Categorical EM-MMIL","IV","T lymphocytes","II_III",211,0.328973781428891,0.396640754748158
"test","Categorical EM-MMIL","IV","Epithelial cells","II_III",379,0.324199204525872,0.409216317957177
"test","Categorical EM-MMIL","IV","Oligodendrocytes","II_III",2,0.322998491946659,0.340844056500132
"test","Categorical EM-MMIL","IV","Fibroblasts","II_III",5,0.286525104458008,0.325255461456119
"test","Categorical EM-MMIL","IV","Oligodendrocytes","IV",2,0.357315420048125,0.374484163826404
"test","Categorical EM-MMIL","IV","Undetermined","IV",8,0.350771597643593,0.419608255155509
"test","Categorical EM-MMIL","IV","Fibroblasts","IV",5,0.344281719333502,0.389766835586728
"test","Categorical EM-MMIL","IV","T lymphocytes","IV",211,0.33746750765666,0.404161393895596
"test","Categorical EM-MMIL","IV","Epithelial cells","IV",379,0.335449195878277,0.419561612938646
"test","Categorical EM-MMIL","IV","B lymphocytes","IV",77,0.333005486713324,0.392057659836127
"test","Categorical EM-MMIL","IV","Myeloid cells","IV",146,0.332830998741575,0.398514005794261
"test","Categorical EM-MMIL","IV","NK cells","IV",42,0.323270956604955,0.377098125832057
"test","Categorical MCEM-MMIL","I","Undetermined","I",1,0.352921473764814,0.352921473764814
"test","Categorical MCEM-MMIL","I","Endothelial cells","I",6,0.346122842931301,0.383775340644588
"test","Categorical MCEM-MMIL","I","MAST cells","I",21,0.341375956242814,0.407180108747473
"test","Categorical MCEM-MMIL","I","Myeloid cells","I",212,0.333169310102698,0.413261218486191
"test","Categorical MCEM-MMIL","I","B lymphocytes","I",43,0.331576245074715,0.399889391499465
"test","Categorical MCEM-MMIL","I","T lymphocytes","I",273,0.329975284388969,0.391915353329922
"test","Categorical MCEM-MMIL","I","NK cells","I",55,0.328530096649771,0.400429286158881
"test","Categorical MCEM-MMIL","I","Epithelial cells","I",55,0.325657581766689,0.437722613082488
"test","Categorical MCEM-MMIL","I","Fibroblasts","I",20,0.310417104799181,0.384021581669716
"test","Categorical MCEM-MMIL","I","Fibroblasts","II_III",20,0.37863576825127,0.421422329643011
"test","Categorical MCEM-MMIL","I","Endothelial cells","II_III",6,0.338487607361396,0.408831064690421
"test","Categorical MCEM-MMIL","I","MAST cells","II_III",21,0.337790305359042,0.42888710207202
"test","Categorical MCEM-MMIL","I","Myeloid cells","II_III",212,0.330136915076228,0.429225359699673
"test","Categorical MCEM-MMIL","I","NK cells","II_III",55,0.328668897274004,0.416719480027391
"test","Categorical MCEM-MMIL","I","Epithelial cells","II_III",55,0.327130606127661,0.393488389353261
"test","Categorical MCEM-MMIL","I","B lymphocytes","II_III",43,0.324840868910522,0.380155244683139
"test","Categorical MCEM-MMIL","I","T lymphocytes","II_III",273,0.324628978645022,0.388068146416007
"test","Categorical MCEM-MMIL","I","Undetermined","II_III",1,0.311275895730055,0.311275895730055
"test","Categorical MCEM-MMIL","I","Epithelial cells","IV",55,0.34721181210565,0.402868551810784
"test","Categorical MCEM-MMIL","I","T lymphocytes","IV",273,0.34539573696601,0.42313555343839
"test","Categorical MCEM-MMIL","I","B lymphocytes","IV",43,0.343582886014763,0.405675778930549
"test","Categorical MCEM-MMIL","I","NK cells","IV",55,0.342801006076224,0.426854407743857
"test","Categorical MCEM-MMIL","I","Myeloid cells","IV",212,0.336693774821074,0.412750442711312
"test","Categorical MCEM-MMIL","I","Undetermined","IV",1,0.335802630505132,0.335802630505132
"test","Categorical MCEM-MMIL","I","MAST cells","IV",21,0.320833738398144,0.380873280133188
"test","Categorical MCEM-MMIL","I","Endothelial cells","IV",6,0.315389549707304,0.369871956152359
"test","Categorical MCEM-MMIL","I","Fibroblasts","IV",20,0.310947126949548,0.391518315537353
"test","Categorical MCEM-MMIL","II_III","Fibroblasts","I",3,0.362862232088501,0.387407468872622
"test","Categorical MCEM-MMIL","II_III","Epithelial cells","I",41,0.347869242019885,0.436586928161797
"test","Categorical MCEM-MMIL","II_III","T lymphocytes","I",108,0.336423779096812,0.389897173219946
"test","Categorical MCEM-MMIL","II_III","NK cells","I",20,0.336063410756439,0.421910382813894
"test","Categorical MCEM-MMIL","II_III","Myeloid cells","I",54,0.324535715460211,0.397092108818022
"test","Categorical MCEM-MMIL","II_III","B lymphocytes","I",35,0.320101356170601,0.383733164656383
"test","Categorical MCEM-MMIL","II_III","Undetermined","I",2,0.31690250967164,0.3429395949535
