"iter","delta","mean_q_advanced","train_logloss_inherited"
1,0.0437373119653271,0.3,1.0856409107766
2,0.0411746669534796,0.3,1.08897920277004
3,0.03636870543059,0.29985804373381,1.12349468662952
4,0.0289525131619092,0.298922963202702,1.17984695261008
5,0.0201273921244876,0.29643971928985,1.24625876233474
6,0.0126244148965187,0.293716261587631,1.30872651825242
7,0.00771187870019651,0.291564029989128,1.35726849737628
8,0.00477833462378453,0.290034656825502,1.3910573012657
9,0.00307270902129168,0.289036659511257,1.41341166480851
10,0.00204895893445275,0.288377335815924,1.42788539764299
11,0.00142173137291378,0.287955631438694,1.43722338739455
12,0.00101825558830194,0.287693848943026,1.44326163175039
13,0.00074545611328151,0.28753128177849,1.44721144868656
14,0.000555251984385905,0.287429476814485,1.44984346226926
15,0.000421320023568603,0.287368450575469,1.45163509149266
16,0.000325647080102364,0.28733399478062,1.4528803684679
17,0.000255722597543799,0.287316216417131,1.45376495581614
18,0.000203742693816228,0.287308705907484,1.45440665561581
19,0.000164571978263529,0.287307300651493,1.45488103434331
20,0.000134195640450537,0.287309362223177,1.45523759322809
21,0.000109920796881429,0.287313239303084,1.45550943112606
22,9.02104250085493e-05,0.287317914169936,1.45571917892166
