"iter","delta","mean_q_advanced","mean_q_mc_advanced","train_logloss_inherited"
1,0.0458955708831602,0.3,0.302538177988415,1.06366552594959
2,0.0383255313236236,0.3,0.300747761979989,1.07193567992874
3,0.0292032256419322,0.299994589864044,0.298020010531859,1.11337239828278
4,0.0231248755587184,0.299858365061789,0.298283307003686,1.16403672495559
5,0.0166632695036218,0.299654793490378,0.299715639810427,1.20967572457945
6,0.0133829074453408,0.299224564433378,0.29911532385466,1.2568873661442
7,0.0118938245447784,0.298855562438868,0.300337019483939,1.28790421362916
8,0.00953822931844554,0.298368500906318,0.299378620326488,1.32410882276947
9,0.00893775597660113,0.29765515618115,0.298483412322275,1.35288459216122
10,0.00704076323800299,0.296680931327521,0.297567140600316,1.37679361989456
11,0.00593996285720019,0.295377057144689,0.297061611374408,1.39225595017865
12,0.004042067615132,0.29424171088749,0.295924170616114,1.40867889706895
13,0.00345088520471772,0.293048623423779,0.294123222748815,1.41752085521865
14,0.00281944401651155,0.292349996409212,0.293586097946288,1.42400445783466
15,0.0029886813394925,0.291603241511597,0.291606108478146,1.43560000571717
16,0.00262890133300337,0.291607026416606,0.292585571353344,1.43678756727162
17,0.00250084716648502,0.291489959105401,0.292374934175882,1.44356563687156
18,0.00285059257580286,0.291081801543377,0.290626645602949,1.46031472547084
19,0.00244469098940096,0.291175568631585,0.291121642969984,1.46221517012639
20,0.00273622627938578,0.291040650808387,0.290458135860979,1.47198350144294
21,0.00225847529165197,0.290545217067657,0.290258030542391,1.47885124983439
22,0.00168315174326636,0.289919989491572,0.289110057925224,1.48637555878098
23,0.00151615294844504,0.289749488415044,0.289657714586625,1.48712691012998
24,0.00150610310360037,0.289191116238588,0.288288572933123,1.49532835709055
25,0.00106893751715652,0.289434979161864,0.289088994207478,1.4984220409383
26,0.00161585173600515,0.289378506064146,0.289331226961559,1.50245288102029
27,0.0010583426540098,0.289695227272368,0.290173775671406,1.49702151587317
28,0.00155771272786674,0.289134864258955,0.288636124275935,1.50188173406664
29,0.00107331937743474,0.289426393986181,0.289878883622959,1.49609338906762
30,0.00141169601492422,0.288840277217839,0.288499210110584,1.5030532225242
