"split","model","Stage_cat","Cell_type","class","n_cells","mean_prob","q90_prob"
"test","Categorical EM-MMIL","IV","Epithelial cells","I",379,0.0625297776006483,0.12313543045035
"test","Categorical EM-MMIL","IV","Undetermined","I",8,0.035862975105799,0.0658860572366908
"test","Categorical EM-MMIL","IV","Oligodendrocytes","I",2,0.0189360104545582,0.0189839637636059
"test","Categorical EM-MMIL","IV","Oligodendrocytes","II_III",2,0.112718835081745,0.181421145227644
"test","Categorical EM-MMIL","IV","Fibroblasts","II_III",5,0.0567136502184408,0.0971469237050384
"test","Categorical EM-MMIL","IV","T lymphocytes","II_III",211,0.033902553978191,0.0631716378175483
"test","Categorical EM-MMIL","IV","B lymphocytes","II_III",77,0.026599235227362,0.0395056895841491
"test","Categorical EM-MMIL","IV","Myeloid cells","II_III",146,0.016899075372809,0.0480956813758208
"test","Categorical EM-MMIL","IV","NK cells","II_III",42,0.0150507310671724,0.0289695983819381
"test","Categorical EM-MMIL","IV","Undetermined","II_III",8,0.0107191824030552,0.0151834816390564
"test","Categorical EM-MMIL","IV","Epithelial cells","II_III",379,0.00976813611870424,0.0160583249249637
"test","Categorical EM-MMIL","IV","Undetermined","IV",8,0.953417842491146,0.976077753711039
"test","Categorical EM-MMIL","IV","Epithelial cells","IV",379,0.927702086280647,0.975876723867278
"test","Categorical EM-MMIL","IV","Myeloid cells","IV",146,0.872450369385797,0.997144659393886
"test","Categorical EM-MMIL","IV","Oligodendrocytes","IV",2,0.868345154463696,0.937095417918643
"test","Categorical EM-MMIL","IV","NK cells","IV",42,0.786592376460612,0.915399501707953
"test","Categorical EM-MMIL","IV","T lymphocytes","IV",211,0.711306479387521,0.909169721933873
"test","Categorical EM-MMIL","IV","Fibroblasts","IV",5,0.608072899248937,0.906283123073654
"test","Categorical EM-MMIL","IV","B lymphocytes","IV",77,0.578603007604491,0.798886111448164
"test","Categorical MCEM-MMIL","I","Endothelial cells","I",6,0.853393355670135,0.958661677085777
"test","Categorical MCEM-MMIL","I","MAST cells","I",21,0.667666834824124,0.80931823186097
"test","Categorical MCEM-MMIL","I","Epithelial cells","I",55,0.610844838245601,0.972382262338663
"test","Categorical MCEM-MMIL","I","B lymphocytes","I",43,0.565285952951824,0.777724777151413
"test","Categorical MCEM-MMIL","I","Myeloid cells","I",212,0.545254932560488,0.909906762186781
"test","Categorical MCEM-MMIL","I","T lymphocytes","I",273,0.517329196342022,0.76426781198352
"test","Categorical MCEM-MMIL","I","NK cells","I",55,0.458023267210453,0.648430257316387
"test","Categorical MCEM-MMIL","I","Fibroblasts","I",20,0.428608380514029,0.83058394847984
"test","Categorical MCEM-MMIL","I","Undetermined","I",1,0.129606103158901,0.129606103158901
"test","Categorical MCEM-MMIL","I","Fibroblasts","II_III",20,0.327296754492596,0.515024243999961
"test","Categorical MCEM-MMIL","I","T lymphocytes","II_III",273,0.0608814554547788,0.122169293216377
"test","Categorical MCEM-MMIL","I","Myeloid cells","II_III",212,0.0523484366620029,0.0820419295576498
"test","Categorical MCEM-MMIL","I","B lymphocytes","II_III",43,0.0415505116438738,0.106533518026646
"test","Categorical MCEM-MMIL","I","Undetermined","II_III",1,0.0358638591515426,0.0358638591515426
"test","Categorical MCEM-MMIL","I","MAST cells","II_III",21,0.0333171313464005,0.0463882573377033
"test","Categorical MCEM-MMIL","I","NK cells","II_III",55,0.0308126921048498,0.0509496473925388
"test","Categorical MCEM-MMIL","I","Endothelial cells","II_III",6,0.0164559105385832,0.0289161042275886
"test","Categorical MCEM-MMIL","I","Epithelial cells","II_III",55,0.00978036805644026,0.0179951088331436
"test","Categorical MCEM-MMIL","I","Undetermined","IV",1,0.834530037689557,0.834530037689557
"test","Categorical MCEM-MMIL","I","NK cells","IV",55,0.511164040684697,0.748676033556989
"test","Categorical MCEM-MMIL","I","T lymphocytes","IV",273,0.4217893482032,0.697692810754247
"test","Categorical MCEM-MMIL","I","Myeloid cells","IV",212,0.402396630777509,0.890641824075969
"test","Categorical MCEM-MMIL","I","B lymphocytes","IV",43,0.393163535404302,0.637474786226211
"test","Categorical MCEM-MMIL","I","Epithelial cells","IV",55,0.379374793697959,0.944235778917057
"test","Categorical MCEM-MMIL","I","MAST cells","IV",21,0.299016033829475,0.450227796929791
"test","Categorical MCEM-MMIL","I","Fibroblasts","IV",20,0.244094864993375,0.544934961174369
"test","Categorical MCEM-MMIL","I","Endothelial cells","IV",6,0.130150733791282,0.285239706685602
"test","Categorical MCEM-MMIL","II_III","Endothelial cells","I",1,0.832654680373717,0.832654680373717
"test","Categorical MCEM-MMIL","II_III","MAST cells","I",6,0.502057906876029,0.694500275528585
"test","Categorical MCEM-MMIL","II_III","Myeloid cells","I",54,0.490812178781637,0.927714510126595
"test","Categorical MCEM-MMIL","II_III","T lymphocytes","I",108,0.457466489477574,0.709810763111463
"test","Categorical MCEM-MMIL","II_III","B lymphocytes","I",35,0.447740618346554,0.705844995879303
"test","Categorical MCEM-MMIL","II_III","Epithelial cells","I",41,0.377782460453655,0.952938333107332
"test","Categorical MCEM-MMIL","II_III","NK cells","I",20,0.322494849022929,0.471054107159863
"test","Categorical MCEM-MMIL","II_III","Fibroblasts","I",3,0.274848198874574,0.498799003523415
"test","Categorical MCEM-MMIL","II_III","Undetermined","I",2,0.175616404508577,0.217203687250107
"test","Categorical MCEM-MMIL","II_III","Fibroblasts","II_III",3,0.407909969278918,0.640858207670354
"test","Categorical MCEM-MMIL","II_III","T lymphocytes","II_III",108,0.049778347703646,0.0989458752385755
"test","Categorical MCEM-MMIL","II_III","B lymphocytes","II_III",35,0.0474292054202402,0.112158769151182
"test","Categorical MCEM-MMIL","II_III","Myeloid cells","II_III",54,0.0463340999670894,0.0752680705292338
"test","Categorical MCEM-MMIL","II_III","Undetermined","II_III",2,0.0408345412717796,0.047843558582655
"test","Categorical MCEM-MMIL","II_III","NK cells","II_III",20,0.0256463184511747,0.0451807630476201
"test","Categorical MCEM-MMIL","II_III","MAST cells","II_III",6,0.0241646115850696,0.0333855217419867
"test","Categorical MCEM-MMIL","II_III","Endothelial cells","II_III",1,0.0200135918557645,0.0200135918557645
"test","Categorical MCEM-MMIL","II_III","Epithelial cells","II_III",41,0.008660146746766,0.0165296692619619
"test","Categorical MCEM-MMIL","II_III","Undetermined","IV",2,0.783549054219642,0.832145354272048
"test","Categorical MCEM-MMIL","II_III","NK cells","IV",20,0.651858832525896,0.829818509896953
"test","Categorical MCEM-MMIL","II_III","Epithelial cells","IV",41,0.613557392799579,0.987179527972755
"test","Categorical MCEM-MMIL","II_III","B lymphocytes","IV",35,0.504830176233206,0.74971620903958
"test","Categorical MCEM-MMIL","II_III","T lymphocytes","IV",108,0.49275516281878,0.747645800616916
"test","Categorical MCEM-MMIL","II_III","MAST cells","IV",6,0.473777481538901,0.808997725689959
"test","Categorical MCEM-MMIL","II_III","Myeloid cells","IV",54,0.462853721251274,0.938213420782627
"test","Categorical MCEM-MMIL","II_III","Fibroblasts","IV",3,0.317241831846508,0.412058772698654
"test","Categorical MCEM-MMIL","II_III","Endothelial cells","IV",1,0.147331727770519,0.147331727770519
"test","Categorical MCEM-MMIL","IV","B lymphocytes","I",77,0.392553912177278,0.623473767924014
"test","Categorical MCEM-MMIL","IV","Fibroblasts","I",5,0.342548754900642,0.732884086760475
"test","Categorical MCEM-MMIL","IV","T lymphocytes","I",211,0.255784125187398,0.502510281821794
"test","Categorical MCEM-MMIL","IV","NK cells","I",42,0.200792049233867,0.34681124886037
"test","Categorical MCEM-MMIL","IV","Myeloid cells","I",146,0.108658718310538,0.354609396580141
"test","Categorical MCEM-MMIL","IV","Epithelial cells","I",379,0.0621315630145342,0.123119809406615
"test","Categorical MCEM-MMIL","IV","Undetermined","I",8,0.0355911527984538,0.0654466802362596
"test","Categorical MCEM-MMIL","IV","Oligodendrocytes","I",2,0.0187641429668721,0.0188097631366252
"test","Categorical MCEM-MMIL","IV","Oligodendrocytes","II_III",2,0.114982553471353,0.185250901721713
"test","Categorical MCEM-MMIL","IV","Fibroblasts","II_III",5,0.055297656959775,0.0967699089342161
"test","Categorical MCEM-MMIL","IV","T lymphocytes","II_III",211,0.0326833214632035,0.0590824170483533
"test","Categorical MCEM-MMIL","IV","B lymphocytes","II_III",77,0.0258213285877133,0.0377571628320254
"test","Categorical MCEM-MMIL","IV","Myeloid cells","II_III",146,0.0158609590963752,0.0439275809333707
"test","Categorical MCEM-MMIL","IV","NK cells","II_III",42,0.0157328891028327,0.0294779945384326
"test","Categorical MCEM-MMIL","IV","Undetermined","II_III",8,0.0105156952711369,0.0148581494357934
"test","Categorical MCEM-MMIL","IV","Epithelial cells","II_III",379,0.00963398360077924,0.0158587044150479
"test","Categorical MCEM-MMIL","IV","Undetermined","IV",8,0.953893151930409,0.976368975431601
"test","Categorical MCEM-MMIL","IV","Epithelial cells","IV",379,0.928234453384687,0.976209198221711
"test","Categorical MCEM-MMIL","IV","Myeloid cells","IV",146,0.875480322593087,0.997300970411259
"test","Categorical MCEM-MMIL","IV","Oligodendrocytes","IV",2,0.866253303561775,0.936567271981889
"test","Categorical MCEM-MMIL","IV","NK cells","IV",42,0.7834750616633,0.913282767275571
"test","Categorical MCEM-MMIL","IV","T lymphocytes","IV",211,0.711532553349399,0.909746140897963
"test","Categorical MCEM-MMIL","IV","Fibroblasts","IV",5,0.602153588139583,0.908431529574747
"test","Categorical MCEM-MMIL","IV","B lymphocytes","IV",77,0.581624759235009,0.802400651490007
"test","Naive inherited-label classifier","I","Endothelial cells","I",6,0.743759346117227,0.855361358963578
"test","Naive inherited-label classifier","I","MAST cells","I",21,0.561583245190788,0.649387674493918
"test","Naive inherited-label classifier","I","B lymphocytes","I",43,0.513439121367386,0.660949069809419
"test","Naive inherited-label classifier","I","Epithelial cells","I",55,0.511242412368929,0.795048156376108
"test","Naive inherited-label classifier","I","Myeloid cells","I",212,0.483444478239827,0.704486619941481
"test","Naive inherited-label classifier","I","T lymphocytes","I",273,0.455846673901993,0.613739443993166
"test","Naive inherited-label classifier","I","NK cells","I",55,0.426953170857923,0.555099405690208
"test","Naive inherited-label classifier","I","Fibroblasts","I",20,0.371263214686451,0.549411790870617
