"iter","delta","mean_q_advanced","train_logloss_inherited"
1,0.0466415513771608,0.3,1.0677316278832
2,0.040692154093763,0.3,1.07730753130659
3,0.0336437618230713,0.299996004694294,1.13069272225077
4,0.0265721756230086,0.299770004237904,1.21397028631857
5,0.0205445438627946,0.299338159819951,1.31583120312559
6,0.0158780383845879,0.298734695382532,1.42510017897981
7,0.0127777531502284,0.29812304365022,1.53153674660163
8,0.0105409064797354,0.297135568493491,1.62882440204153
9,0.00854465007618941,0.29544380218221,1.7166773292258
10,0.00664616929690167,0.293279251462695,1.79397644200336
11,0.00537371480747194,0.291213597743786,1.86614359866239
12,0.0044889003931134,0.289655289003196,1.92818449534026
13,0.00376133119396587,0.288644882717144,1.97711409625148
14,0.00339466009420734,0.28801550492621,2.01231480344038
15,0.00314219961014356,0.287494651943506,2.03808902576667
16,0.00284789530054934,0.286885173244893,2.05686239353054
17,0.00249811412521612,0.286134981129257,2.07094130038497
18,0.00214830835032499,0.285353828331283,2.08159856263636
19,0.00186317308573345,0.284639620578676,2.08972230460071
20,0.00166211986136822,0.284032805681234,2.09636762804936
21,0.00152890781615111,0.283530722308565,2.10187300099355
22,0.00143287559197764,0.283116888343705,2.10676056959327
23,0.00134171952523826,0.282750508984792,2.1114986318776
24,0.0012554159347323,0.282415587520525,2.11650769086174
25,0.00115134972652234,0.282054266247632,2.12175912808296
26,0.0010842283986224,0.281771581376966,2.12720929623667
27,0.00105884283127326,0.281566125306767,2.13284396648821
28,0.00104324352380741,0.281422497506348,2.13848071216209
29,0.00103899782754636,0.281332159699141,2.14437512306488
30,0.00103931703803545,0.281285067110175,2.15075153370198
