"iter","delta","mean_entropy","train_logloss_inherited","train_accuracy_inherited"
1,0.0985872165296124,0.565305632802297,0.710362850041443,0.783726323927329
2,0.0476750340975836,0.406759270404446,0.567531838352172,0.78875144955547
3,0.0247099998060558,0.321488734377088,0.537344154612119,0.79126401236954
4,0.0145839223425312,0.2720019233754,0.54791574230067,0.794936219559335
5,0.00951765682813887,0.24058780797743,0.575012336561281,0.798994974874372
6,0.00664914214076144,0.219282061823928,0.610833795162303,0.803053730189409
7,0.00498260466882731,0.204321195475713,0.654452187648322,0.805373018940858
8,0.00409498126587199,0.193668168081587,0.706577241538036,0.809431774255895
9,0.00330847905873668,0.185947069812825,0.743943645372674,0.81059141863162
10,0.00265449546972111,0.180130191875274,0.765117175777801,0.812137611132586
11,0.00220346314750674,0.175760849941604,0.782903543861627,0.813297255508311
12,0.00182220610831132,0.17245655898637,0.798570968816222,0.815809818322381
13,0.00153705317914697,0.169934806765941,0.81307217251343,0.817549284885968
14,0.00133071408584684,0.167914670169947,0.828179836987171,0.817356010823348
15,0.00115792753204138,0.166324290645211,0.846027415984301,0.818322381136452
16,0.0010222730089095,0.165061716587915,0.866435671872322,0.819095477386935
17,0.000849129358075342,0.164094504677965,0.882509208432454,0.819675299574797
18,0.000691662007940395,0.163356438676698,0.890519586583259,0.820061847700039
19,0.000593644247724158,0.162767763815051,0.895942076840208,0.819482025512176
20,0.000531816454812667,0.162269491818332,0.9002593157214,0.819482025512176
21,0.000488475615883338,0.161830445835017,0.903845425633536,0.819482025512176
22,0.00045097825740445,0.161431801621862,0.907006943311989,0.819675299574797
23,0.000411574130692803,0.16108008351651,0.909793803380836,0.819675299574797
24,0.000359342658717686,0.16078266708582,0.91218315348462,0.819868573637418
25,0.000233464881341782,0.160565157612003,0.913826516708842,0.819675299574797
26,0.000189995339450371,0.16041510034736,0.915139422901049,0.819868573637418
27,0.000161079956163168,0.160310478361212,0.916153351280348,0.819868573637418
28,0.000135665564998317,0.160237797157776,0.916941899472662,0.819288751449555
29,0.00011613806230914,0.160190590656531,0.917530244848699,0.819675299574797
30,0.000101262022049223,0.160156873480802,0.918010331857587,0.819675299574797
