"iter","delta","mean_q_advanced","train_logloss_inherited"
1,0.0538294143381547,0.3,1.01683052469486
2,0.0362051079945091,0.299997459716402,1.02401957859689
3,0.0254258971640873,0.299908642498299,1.07707653908593
4,0.018622367087192,0.29983624568788,1.14536037416766
5,0.0141909835942041,0.29978991452134,1.21467175558263
6,0.0111808278651921,0.299764862222986,1.27890310817364
7,0.00937785422769205,0.299759940546085,1.33582473625413
8,0.00815963806739072,0.299748119681864,1.38621817550748
9,0.00730075454558018,0.299731255346879,1.43136878714551
10,0.00663659603029477,0.299718983527928,1.47173497118882
11,0.00609652584624615,0.299707053420898,1.50903715809664
12,0.00570360470112739,0.299686211370734,1.54377273894343
13,0.0053048406263846,0.299664554893027,1.5757127464818
14,0.00502820349943505,0.29964167032795,1.60538693844867
15,0.00479030392377273,0.299604044729979,1.63317733218592
16,0.00458254941233113,0.299559435487736,1.65931024991777
17,0.0043813288184411,0.299511711693183,1.68445666517391
18,0.00419552119446988,0.299449471041226,1.70837686763836
19,0.00402638189607634,0.299369307913192,1.73201268503949
20,0.00386881712473904,0.299276968843566,1.75538677471185
21,0.00363488264073454,0.299170043363064,1.77781092517678
22,0.00344809274937761,0.299037222661289,1.79926066573421
23,0.00323021376351966,0.298874848158424,1.81993115882046
24,0.00305162538589613,0.29868711632096,1.83872096079219
25,0.00288540989980128,0.298480088752548,1.85593787975696
26,0.00273620023349669,0.298266147826848,1.87171433313952
27,0.00254525856461636,0.298073446902343,1.88671220420421
28,0.00240121011574224,0.297884291567009,1.90098478801319
29,0.00228473361822095,0.297693554797423,1.91418710548517
30,0.00217482523419843,0.297491683163664,1.9269118856751
