"iter","delta","mean_q_advanced","train_logloss_inherited"
1,0.0546278925081642,0.3,1.01601330438378
2,0.0366347481249585,0.299994661491293,1.02568379991236
3,0.0255826275610061,0.299898779231513,1.08241928581392
4,0.0185761444357324,0.299829370710953,1.15407397560435
5,0.0141133882682212,0.299785068019593,1.22584114196356
6,0.011177134871204,0.299763782638036,1.29182310867302
7,0.00913219712620668,0.299762145323797,1.34997881637408
8,0.00782370783781003,0.299751178135505,1.40029447164467
9,0.0068988080144841,0.299739681959338,1.44373736123181
10,0.00621656464085952,0.299729614344098,1.48141869785156
11,0.00570121250064954,0.299715396649709,1.5148548934958
12,0.0052971466597883,0.299701462529566,1.54439956388115
13,0.00496615337140628,0.299681121303483,1.57097559543223
14,0.00462527886310842,0.299655630322477,1.59533133812501
15,0.00434678171368424,0.299629115510621,1.61737447101264
16,0.00410896068271453,0.299596560953922,1.63720325837727
17,0.00391263660651607,0.299559904160317,1.65528576492331
18,0.00373866021195416,0.299519863957739,1.67213893130226
19,0.00357306396223709,0.299469448481304,1.68772668064926
20,0.003421245399614,0.299411383626154,1.70250427062938
21,0.00327421696801831,0.299344033204815,1.71700895092991
22,0.00312886418437916,0.299264476130079,1.73079065700206
23,0.00296000182332203,0.299175222562042,1.7438834479474
24,0.00281270413457874,0.29907276659356,1.75626882658535
25,0.00269945323152747,0.298956066209794,1.76780510279176
26,0.0025811988192222,0.298833050821573,1.77879911971987
27,0.00246881418117607,0.298704483193491,1.78920800608412
28,0.00232915262402724,0.298568278875497,1.79852958433161
29,0.00219450237577119,0.298428581701935,1.80707508510955
30,0.00209869156422925,0.298291586100372,1.81452073808889
