"iter","mean_soft_advanced","mean_prob_advanced","delta"
1,0.3,0.223494544788344,0.0461805249686212
2,0.299991029480419,0.239069247185357,0.038602367398189
3,0.299797036035934,0.251097354884718,0.0307438499028409
4,0.29958435505326,0.259608302111588,0.0232313609235639
5,0.299362181299745,0.26533294890659,0.0169981510737547
6,0.29923202816256,0.269048428389269,0.0125435085145339
7,0.299183505438412,0.271543967610728,0.0098982857757262
8,0.299161104817064,0.27329719146345,0.00849560566966746
9,0.299062076408707,0.274555643676251,0.00760384422013775
10,0.298838674060418,0.275389104888182,0.00684368087932779
11,0.298499872536503,0.275850310127227,0.00611605599064253
12,0.298043961683543,0.276012896786433,0.0053967040721576
13,0.297608147399963,0.275917382953644,0.00479506000302352
14,0.297207451217891,0.275737305602731,0.00432723960072802
15,0.296785969406776,0.275517961492583,0.00391536445318543
16,0.296311366442134,0.275223082709206,0.00350890364965197
17,0.295734304605324,0.274832517424845,0.00306861501691386
18,0.295139447819523,0.274311310432272,0.00264224136442548
19,0.294598330891032,0.273753777234874,0.00227829730523148
20,0.294123359469751,0.273238568238164,0.00198174043307339
21,0.29374282516944,0.272785141590239,0.00175829225119387
22,0.293452011134788,0.272424304858156,0.00159694721442656
23,0.29322583823046,0.272153449123469,0.00147501479737913
24,0.293055692397113,0.271948172716072,0.00138358295489491
25,0.292934269001409,0.271800288657957,0.00132482025922017
26,0.292849078381203,0.271702333829996,0.0012891010047562
27,0.292790661956633,0.271641561992967,0.00127016460815956
28,0.292744581331306,0.271608305864782,0.00126028834786201
29,0.292707335255421,0.271587080185343,0.00125714994668984
30,0.292663375133907,0.271573395535125,0.00125124742863114
