"iter","delta","mean_q_advanced","train_logloss_inherited"
1,0.0535678852441224,0.3,1.01691965473035
2,0.0363492315278889,0.299998298113399,1.02418138690294
3,0.0256942759283264,0.299902719605087,1.07804691749969
4,0.0188455942817913,0.299835649718281,1.14771613992461
5,0.014530069828979,0.299801286674264,1.21884452425022
6,0.0117097081583226,0.299778861324897,1.28676727743504
7,0.00954072942299584,0.299760996374339,1.34991356621412
8,0.00815418147129174,0.299740532890955,1.40620869193451
9,0.00717924975442494,0.299727516718141,1.45599109458377
10,0.00647637865801342,0.29971139674602,1.50047604719703
11,0.00594317417150899,0.29968873842751,1.54056789439385
12,0.00552527361537154,0.299650415603449,1.57691079974105
13,0.00519323541191812,0.299599884094617,1.61052280547409
14,0.00483453221863543,0.299539760144136,1.64171961611172
15,0.00455359604098942,0.299467563726514,1.66982105348807
16,0.00433747171089852,0.29937922349511,1.69569836791392
17,0.0040245618004315,0.299271672356897,1.72046187833437
18,0.00369429047063516,0.299133088758768,1.74279107147991
19,0.00348178512110443,0.298972231260067,1.762919163055
20,0.00328743886325428,0.298803623284605,1.78142810049467
21,0.00309883823409566,0.298638945868913,1.79856520507606
22,0.00291837247103897,0.298463008420065,1.81471288627514
23,0.00275862993902683,0.298276962939501,1.82972385461875
24,0.00260312597132299,0.298097092994586,1.8435262719992
25,0.00248168236323699,0.297916329507977,1.85594085596636
26,0.00237976095967903,0.297734605387758,1.86781647333904
27,0.00229189895900446,0.297544738002143,1.87937874985493
28,0.00221219661563998,0.297347408663841,1.89073520985614
29,0.00211894054868938,0.297145034504238,1.90241965032668
30,0.0019584178700978,0.296952835532107,1.91363187291255
