"experiment_id","task_type","categorical_scheme","feature_method","n_components","model_name","backend","seed","experiment_dir","resume_match_type","loaded_summary"
"EXP001_binary_PCAk10_glmnet_ridge_seed2026","binary","three_stage","PCA",10,"glmnet_ridge","glmnet",2026,"D:/Monte/Monte-Carlo-Method-Project-Group-4/Abalation/Output/binary/experiments/EXP001_binary_PCAk10_glmnet_ridge_seed2026","exact",TRUE
"EXP002_binary_PCAk10_glmnet_elasticnet_seed2026","binary","three_stage","PCA",10,"glmnet_elasticnet","glmnet",2026,"D:/Monte/Monte-Carlo-Method-Project-Group-4/Abalation/Output/binary/experiments/EXP002_binary_PCAk10_glmnet_elasticnet_seed2026","exact",TRUE
"EXP003_binary_PCAk10_glmnet_lasso_seed2026","binary","three_stage","PCA",10,"glmnet_lasso","glmnet",2026,"D:/Monte/Monte-Carlo-Method-Project-Group-4/Abalation/Output/binary/experiments/EXP003_binary_PCAk10_glmnet_lasso_seed2026","exact",TRUE
"EXP004_binary_PCAk10_xgboost_seed2026","binary","three_stage","PCA",10,"xgboost","xgboost",2026,"D:/Monte/Monte-Carlo-Method-Project-Group-4/Abalation/Output/binary/experiments/EXP004_binary_PCAk10_xgboost_seed2026","exact",TRUE
"EXP005_binary_PCAk20_glmnet_ridge_seed2026","binary","three_stage","PCA",20,"glmnet_ridge","glmnet",2026,"D:/Monte/Monte-Carlo-Method-Project-Group-4/Abalation/Output/binary/experiments/EXP005_binary_PCAk20_glmnet_ridge_seed2026","exact",TRUE
"EXP006_binary_PCAk20_glmnet_elasticnet_seed2026","binary","three_stage","PCA",20,"glmnet_elasticnet","glmnet",2026,"D:/Monte/Monte-Carlo-Method-Project-Group-4/Abalation/Output/binary/experiments/EXP006_binary_PCAk20_glmnet_elasticnet_seed2026","exact",TRUE
"EXP007_binary_PCAk20_glmnet_lasso_seed2026","binary","three_stage","PCA",20,"glmnet_lasso","glmnet",2026,"D:/Monte/Monte-Carlo-Method-Project-Group-4/Abalation/Output/binary/experiments/EXP007_binary_PCAk20_glmnet_lasso_seed2026","exact",TRUE
"EXP008_binary_PCAk20_xgboost_seed2026","binary","three_stage","PCA",20,"xgboost","xgboost",2026,"D:/Monte/Monte-Carlo-Method-Project-Group-4/Abalation/Output/binary/experiments/EXP008_binary_PCAk20_xgboost_seed2026","exact",TRUE
"EXP009_binary_PCAk50_glmnet_ridge_seed2026","binary","three_stage","PCA",50,"glmnet_ridge","glmnet",2026,"D:/Monte/Monte-Carlo-Method-Project-Group-4/Abalation/Output/binary/experiments/EXP009_binary_PCAk50_glmnet_ridge_seed2026","exact",TRUE
"EXP010_binary_PCAk50_glmnet_elasticnet_seed2026","binary","three_stage","PCA",50,"glmnet_elasticnet","glmnet",2026,"D:/Monte/Monte-Carlo-Method-Project-Group-4/Abalation/Output/binary/experiments/EXP010_binary_PCAk50_glmnet_elasticnet_seed2026","exact",TRUE
"EXP011_binary_PCAk50_glmnet_lasso_seed2026","binary","three_stage","PCA",50,"glmnet_lasso","glmnet",2026,"D:/Monte/Monte-Carlo-Method-Project-Group-4/Abalation/Output/binary/experiments/EXP011_binary_PCAk50_glmnet_lasso_seed2026","exact",TRUE
"EXP012_binary_PCAk50_xgboost_seed2026","binary","three_stage","PCA",50,"xgboost","xgboost",2026,"D:/Monte/Monte-Carlo-Method-Project-Group-4/Abalation/Output/binary/experiments/EXP012_binary_PCAk50_xgboost_seed2026","exact",TRUE
"EXP013_binary_ICAk10_glmnet_ridge_seed2026","binary","three_stage","ICA",10,"glmnet_ridge","glmnet",2026,"D:/Monte/Monte-Carlo-Method-Project-Group-4/Abalation/Output/binary/experiments/EXP013_binary_ICAk10_glmnet_ridge_seed2026","exact",TRUE
"EXP014_binary_ICAk10_glmnet_elasticnet_seed2026","binary","three_stage","ICA",10,"glmnet_elasticnet","glmnet",2026,"D:/Monte/Monte-Carlo-Method-Project-Group-4/Abalation/Output/binary/experiments/EXP014_binary_ICAk10_glmnet_elasticnet_seed2026","exact",TRUE
"EXP015_binary_ICAk10_glmnet_lasso_seed2026","binary","three_stage","ICA",10,"glmnet_lasso","glmnet",2026,"D:/Monte/Monte-Carlo-Method-Project-Group-4/Abalation/Output/binary/experiments/EXP015_binary_ICAk10_glmnet_lasso_seed2026","exact",TRUE
