"iter","delta","mean_entropy","train_logloss_inherited","train_accuracy_inherited"
1,0.0954945124879427,0.572181640566194,0.719902619967218,0.773676072671048
2,0.0474242646636465,0.413656007679637,0.57467084812648,0.781020487050638
3,0.025114085133266,0.326561630964778,0.542006534618533,0.784112872052571
4,0.0149155571043045,0.276493313943643,0.553233914485674,0.78894472361809
5,0.0095678014804621,0.245849071758931,0.579691775215161,0.791457286432161
6,0.00648005237524782,0.226195755185282,0.609231654694103,0.795516041747197
7,0.00456440122213762,0.213075877348949,0.636866193736013,0.79609586393506
8,0.00345713891280907,0.204038079189389,0.661826316573711,0.798028604561268
9,0.0027812634819994,0.197671624049791,0.683830252051696,0.800734441437959
10,0.00225105040938873,0.193165896631775,0.70239548675785,0.802087359876305
11,0.00185024408109294,0.189808174591783,0.717822577319472,0.802473908001546
12,0.00158726111674875,0.187197138219502,0.730859370068438,0.802667182064167
13,0.00133622211645923,0.185169611337051,0.741914053675767,0.803247004252029
14,0.00108880403903082,0.183613984566779,0.750958823542582,0.803826826439892
15,0.000889182824984964,0.182437907631292,0.758264813436575,0.804020100502513
16,0.00074086699546315,0.181485090524182,0.76435741202869,0.80344027831465
17,0.000611668248002508,0.180771053739814,0.769191683513676,0.804406648627754
18,0.000528099418842959,0.180130458169918,0.773459500076789,0.804599922690375
19,0.000451757393798826,0.179596204323104,0.77701596849394,0.805179744878237
20,0.000377181154280387,0.179194378558903,0.779790230950061,0.805373018940858
21,0.000322436124406812,0.17886028299015,0.782052120804383,0.805566293003479
22,0.000282768352030733,0.178580835145396,0.783925154194387,0.805566293003479
23,0.000251365021853458,0.178344855149632,0.785494720318361,0.8057595670661
24,0.000226146903997859,0.178142986385493,0.786819657507947,0.8057595670661
25,0.000205315944259755,0.177986442435852,0.787885476174874,0.805952841128721
26,0.000188954150918302,0.177822760159743,0.788901967030384,0.806146115191341
27,0.000173767356804554,0.177680517498786,0.789776643756016,0.806339389253962
28,0.000160488090189574,0.177553582402785,0.790543175841792,0.806339389253962
29,0.000148537827788463,0.177440416741432,0.791217871971761,0.806339389253962
30,0.000137208831438306,0.177340577818348,0.791801727470235,0.806339389253962
