"split","model","n_patients","logloss_mean_prob","logloss_median_prob","logloss_q90_prob","logloss_q99_prob"
"test","Deterministic EM-MMIL",11,1.04323084154499,1.24430046646335,0.807584171915341,0.364757995152969
"test","MCEM-MMIL",11,1.04376854254686,1.24518780548044,0.814364619843187,0.35583636655377
"test","Naive inherited-label classifier",11,0.534081860220451,0.531746297770819,0.619918975683899,0.825709641165849
"train","Deterministic EM-MMIL",33,1.01396145946712,1.32748548539343,0.595005874585668,0.40925223247799
"train","MCEM-MMIL",33,1.01090931456614,1.33184385822078,0.600120412063657,0.404366931535024
"train","Naive inherited-label classifier",33,0.509401021649973,0.509675020720825,0.616553382702614,0.956345527954261
