"iter","delta","mean_q_advanced","mean_q_mc_advanced","train_logloss_inherited"
1,0.0455781705194729,0.3,0.302538177988415,1.08035368671735
2,0.0456674165027997,0.3,0.300663507109005,1.09217406894962
3,0.0420787093003648,0.29963480043328,0.299599789362823,1.14747019205826
4,0.033287387662927,0.296928751558413,0.299473407056345,1.24186739062167
5,0.0213803726480872,0.292169260422992,0.296535018430753,1.3644437653422
6,0.0135170615361554,0.288173461567403,0.294670879410216,1.4894554044277
7,0.00854215283544793,0.284188789948055,0.289583991574513,1.59996391783624
8,0.00628334619190792,0.280361813579102,0.283823064770932,1.7090115135667
9,0.00411010365935888,0.277518840169655,0.279894681411269,1.79751477716858
10,0.0029817943800476,0.275794638293133,0.277588204318062,1.85731980308873
11,0.00266057160254941,0.274328124641913,0.275734597156398,1.92801101719898
12,0.00249698913212937,0.273800921906757,0.274965771458662,2.00918266713674
13,0.00148963861774965,0.273479423810966,0.274565560821485,2.04155888739258
14,0.00108081838336168,0.272822787008358,0.273449183780937,2.06701454259421
15,0.0011614709306465,0.272820194156871,0.273343865192206,2.07927253888851
16,0.00102978383695741,0.272535003126592,0.272859399684044,2.0933125315661
17,0.000830560467469222,0.272338946881917,0.272501316482359,2.10984024124261
18,0.000811564611090892,0.27188021536277,0.271690363349131,2.12714647778834
19,0.000882267608806332,0.272212178809065,0.272143233280674,2.13444363110592
20,0.000831200700392025,0.271735184563251,0.271384939441811,2.14773791421177
21,0.000826685005564017,0.271628007456356,0.271342812006319,2.14810579478016
22,0.000886296430335528,0.271026595762489,0.27042654028436,2.17455604655817
23,0.000936625015969451,0.271765778286513,0.271869404949974,2.14774836855633
24,0.000845171592853394,0.272175563087506,0.272174828857293,2.14699236703512
25,0.00116906923948477,0.272406828582971,0.27233280674039,2.15231187099625
26,0.00094573924517612,0.272661173398818,0.272775144813059,2.16220999127437
27,0.000995066216513124,0.272359896331868,0.27246972090574,2.14928709341657
28,0.00059885824002216,0.27217928830743,0.272374934175882,2.1488174859791
29,0.000614101621427343,0.272249697242872,0.272417061611374,2.14208765244717
30,0.000713869591199171,0.27145741612783,0.271216429699842,2.15929121806886
