"split","model","Stage_cat","Cell_type","class","n_cells","mean_prob","q90_prob"
"test","Categorical EM-MMIL","IV","Undetermined","I",8,0.0289290361378567,0.0813664178968862
"test","Categorical EM-MMIL","IV","Epithelial cells","I",379,0.00839256378915941,0.0101077386934735
"test","Categorical EM-MMIL","IV","Oligodendrocytes","I",2,5.88069235471726e-05,0.000105152559534075
"test","Categorical EM-MMIL","IV","Oligodendrocytes","II_III",2,0.0190837364385181,0.0343498577971987
"test","Categorical EM-MMIL","IV","Fibroblasts","II_III",5,0.0190189983867232,0.0524455755037763
"test","Categorical EM-MMIL","IV","Myeloid cells","II_III",146,0.00967019394496714,0.0130648016704774
"test","Categorical EM-MMIL","IV","B lymphocytes","II_III",77,0.00945957308778984,0.00809760824944901
"test","Categorical EM-MMIL","IV","T lymphocytes","II_III",211,0.00858517068741334,0.0108496198209488
"test","Categorical EM-MMIL","IV","NK cells","II_III",42,0.00081975316300073,0.001617524147218
"test","Categorical EM-MMIL","IV","Epithelial cells","II_III",379,0.000370060353621581,0.000486493932810293
"test","Categorical EM-MMIL","IV","Undetermined","II_III",8,2.28869761862136e-06,6.66943723859025e-06
"test","Categorical EM-MMIL","IV","Epithelial cells","IV",379,0.991237375857219,0.999996036921383
"test","Categorical EM-MMIL","IV","Oligodendrocytes","IV",2,0.980857456637935,0.996169923632602
"test","Categorical EM-MMIL","IV","Undetermined","IV",8,0.971068675164525,0.999376264933921
"test","Categorical EM-MMIL","IV","Myeloid cells","IV",146,0.927326073261368,0.999999299723718
"test","Categorical EM-MMIL","IV","T lymphocytes","IV",211,0.811456261105354,0.999660112565783
"test","Categorical EM-MMIL","IV","Fibroblasts","IV",5,0.752133119270547,0.996055957873488
"test","Categorical EM-MMIL","IV","NK cells","IV",42,0.741214103575531,0.99794958515682
"test","Categorical EM-MMIL","IV","B lymphocytes","IV",77,0.618020794925724,0.973381677570661
"test","Categorical MCEM-MMIL","I","Endothelial cells","I",6,0.973518451826958,0.999991951516151
"test","Categorical MCEM-MMIL","I","B lymphocytes","I",43,0.726218974839463,0.979693658029616
"test","Categorical MCEM-MMIL","I","Fibroblasts","I",20,0.682050854120112,0.990358902990028
"test","Categorical MCEM-MMIL","I","NK cells","I",55,0.669363245275967,0.993411430172574
"test","Categorical MCEM-MMIL","I","Myeloid cells","I",212,0.605704928962727,0.946406875200784
"test","Categorical MCEM-MMIL","I","MAST cells","I",21,0.603581316575758,0.896431228083069
"test","Categorical MCEM-MMIL","I","Epithelial cells","I",55,0.55953478120314,0.988758943563814
"test","Categorical MCEM-MMIL","I","T lymphocytes","I",273,0.505022634227069,0.971773853418385
"test","Categorical MCEM-MMIL","I","Undetermined","I",1,0.373084837858384,0.373084837858384
"test","Categorical MCEM-MMIL","I","Fibroblasts","II_III",20,0.260661441413141,0.791091885407454
"test","Categorical MCEM-MMIL","I","T lymphocytes","II_III",273,0.21318716968149,0.740593072507811
"test","Categorical MCEM-MMIL","I","MAST cells","II_III",21,0.173052443331364,0.426921020377938
"test","Categorical MCEM-MMIL","I","Myeloid cells","II_III",212,0.16975306533529,0.395097546608771
"test","Categorical MCEM-MMIL","I","Epithelial cells","II_III",55,0.127402341361828,0.40897107922466
"test","Categorical MCEM-MMIL","I","NK cells","II_III",55,0.0691090666421596,0.175492874013192
"test","Categorical MCEM-MMIL","I","B lymphocytes","II_III",43,0.0356848983153866,0.114526350657784
"test","Categorical MCEM-MMIL","I","Endothelial cells","II_III",6,0.00754015132034233,0.0226061168174534
"test","Categorical MCEM-MMIL","I","Undetermined","II_III",1,1.17425944971354e-05,1.17425944971354e-05
"test","Categorical MCEM-MMIL","I","Undetermined","IV",1,0.626903419547119,0.626903419547119
"test","Categorical MCEM-MMIL","I","Epithelial cells","IV",55,0.313062877435033,0.999583772531286
"test","Categorical MCEM-MMIL","I","T lymphocytes","IV",273,0.281790196091441,0.787970919451045
"test","Categorical MCEM-MMIL","I","NK cells","IV",55,0.261527688081873,0.791105055283982
"test","Categorical MCEM-MMIL","I","B lymphocytes","IV",43,0.238096126845151,0.751265391224766
"test","Categorical MCEM-MMIL","I","Myeloid cells","IV",212,0.224542005701983,0.952861202306641
"test","Categorical MCEM-MMIL","I","MAST cells","IV",21,0.223366240092878,0.666823797192518
"test","Categorical MCEM-MMIL","I","Fibroblasts","IV",20,0.0572877044667468,0.0277109821778255
"test","Categorical MCEM-MMIL","I","Endothelial cells","IV",6,0.018941396852699,0.0561041753724747
"test","Categorical MCEM-MMIL","II_III","Endothelial cells","I",1,0.961848217683415,0.961848217683415
