"iter","delta","mean_q_advanced","train_logloss_inherited"
1,0.0434201216665464,0.3,1.0175821735978
2,0.0357081636477649,0.3,1.02362854196935
3,0.031122432731298,0.3,1.05694577311958
4,0.0263449321800842,0.3,1.10681297194447
5,0.023311321395353,0.3,1.16613222082862
6,0.0205266362876213,0.3,1.2318130728909
7,0.0177017757822639,0.299210047349149,1.3079134400693
8,0.0133101255994746,0.294825176652931,1.39013463100964
9,0.0102497897852622,0.290369166885951,1.47554642794152
10,0.00845524994898988,0.287540662103757,1.55519922123543
11,0.00781288904559778,0.286288655091005,1.6293805358042
12,0.00664803567681448,0.285100984992479,1.69025490911335
13,0.0064983154439611,0.284130062014665,1.74933231508887
14,0.00546596689677784,0.283990968596591,1.79162778203603
15,0.00523579452717883,0.2838901793076,1.83196569242869
16,0.0051388890818617,0.283073217163881,1.86486008352128
17,0.00471016390377487,0.283004758259117,1.89269628917132
18,0.00448272293819049,0.28281441113851,1.90918525675773
19,0.00429730649274615,0.282137462779625,1.94487601718645
20,0.00328869125286554,0.280707866535571,1.97356973046029
21,0.0026973229282368,0.279544631213471,1.99569939658829
22,0.00258591910319999,0.278442249425802,2.02431389677356
23,0.00221991445840158,0.277978988817715,2.04933927033485
24,0.00197900581865039,0.277227898433717,2.0693798996433
25,0.0023781084184358,0.2763618433243,2.10886863647719
26,0.00177542995255803,0.276189268894953,2.12532529327202
27,0.00158131434116519,0.27568573795263,2.14196201997853
28,0.00179004609146711,0.275522391763693,2.1504049176355
29,0.00148552187206255,0.275225308503904,2.16362722951111
30,0.00162063466761525,0.275253705907074,2.16621039347449
