"split","model","Stage_group","Cell_type","n_cells","mean_prob","prop_gt_0.5","prop_gt_0.9"
"train","Deterministic EM-MMIL","Advanced","Undetermined",13,0.00628910822650561,0,0
"train","Deterministic EM-MMIL","Advanced","NK cells",163,0.0061810820426312,0,0
"train","Deterministic EM-MMIL","Early","Epithelial cells",105,0.184982302518828,0.0761904761904762,0
"train","Deterministic EM-MMIL","Early","Fibroblasts",36,0.0221312045016223,0,0
"train","Deterministic EM-MMIL","Early","Endothelial cells",33,0.014527908526361,0,0
"train","Deterministic EM-MMIL","Early","Myeloid cells",401,0.0126812635895394,0.00249376558603491,0
"train","Deterministic EM-MMIL","Early","B lymphocytes",324,0.00617699375387603,0,0
"train","Deterministic EM-MMIL","Early","T lymphocytes",853,0.00610462853527799,0,0
"train","Deterministic EM-MMIL","Early","MAST cells",45,0.0059788307795922,0,0
"train","Deterministic EM-MMIL","Early","Undetermined",9,0.005938946786854,0,0
"train","Deterministic EM-MMIL","Early","NK cells",94,0.00585638919468731,0,0
"train","MCEM-MMIL","Advanced","Epithelial cells",979,0.825718641793403,0.860061287027579,0.734422880490296
"train","MCEM-MMIL","Advanced","Myeloid cells",566,0.0306606927529543,0.019434628975265,0
"train","MCEM-MMIL","Advanced","Oligodendrocytes",15,0.0300070185214281,0,0
"train","MCEM-MMIL","Advanced","Fibroblasts",61,0.0287582128934684,0,0
"train","MCEM-MMIL","Advanced","Endothelial cells",3,0.00780889748906096,0,0
"train","MCEM-MMIL","Advanced","MAST cells",26,0.00712416899533799,0,0
"train","MCEM-MMIL","Advanced","T lymphocytes",993,0.00711430544136814,0,0
"train","MCEM-MMIL","Advanced","Undetermined",13,0.00665174686135008,0,0
"train","MCEM-MMIL","Advanced","NK cells",163,0.00648786687503563,0,0
"train","MCEM-MMIL","Advanced","B lymphocytes",346,0.00610883199782084,0,0
"train","MCEM-MMIL","Early","Epithelial cells",105,0.185614198410795,0.0952380952380952,0
"train","MCEM-MMIL","Early","Fibroblasts",36,0.0225216779443953,0,0
"train","MCEM-MMIL","Early","Myeloid cells",401,0.0120741251816606,0,0
"train","MCEM-MMIL","Early","Endothelial cells",33,0.0111039914331879,0,0
"train","MCEM-MMIL","Early","B lymphocytes",324,0.00651636332946105,0,0
"train","MCEM-MMIL","Early","Undetermined",9,0.0062571344897151,0,0
"train","MCEM-MMIL","Early","NK cells",94,0.00612307069426838,0,0
"train","MCEM-MMIL","Early","MAST cells",45,0.0061132685902218,0,0
"train","MCEM-MMIL","Early","T lymphocytes",853,0.0060505038012662,0,0
"train","Naive inherited-label classifier","Advanced","Epithelial cells",979,0.92797779135855,0.990806945863126,0.807967313585291
"train","Naive inherited-label classifier","Advanced","Oligodendrocytes",15,0.737482726573944,1,0
"train","Naive inherited-label classifier","Advanced","Myeloid cells",566,0.731045505262306,0.871024734982332,0.127208480565371
"train","Naive inherited-label classifier","Advanced","Fibroblasts",61,0.704079372961013,0.983606557377049,0.0491803278688525
"train","Naive inherited-label classifier","Advanced","Undetermined",13,0.667268239534818,1,0
"train","Naive inherited-label classifier","Advanced","NK cells",163,0.666916650131436,0.883435582822086,0
"train","Naive inherited-label classifier","Advanced","T lymphocytes",993,0.629612801268262,0.808660624370594,0.00503524672708963
"train","Naive inherited-label classifier","Advanced","B lymphocytes",346,0.598215748292173,0.80635838150289,0
"train","Naive inherited-label classifier","Advanced","MAST cells",26,0.58380196759334,0.730769230769231,0
"train","Naive inherited-label classifier","Advanced","Endothelial cells",3,0.426702896753947,0.333333333333333,0
"train","Naive inherited-label classifier","Early","Epithelial cells",105,0.594692998273032,0.714285714285714,0.00952380952380952
"train","Naive inherited-label classifier","Early","Undetermined",9,0.486513174242443,0.222222222222222,0
"train","Naive inherited-label classifier","Early","NK cells",94,0.479953171407923,0.414893617021277,0
"train","Naive inherited-label classifier","Early","MAST cells",45,0.465686410003238,0.288888888888889,0
"train","Naive inherited-label classifier","Early","Fibroblasts",36,0.463710913641585,0.388888888888889,0
"train","Naive inherited-label classifier","Early","B lymphocytes",324,0.442949906681423,0.314814814814815,0
"train","Naive inherited-label classifier","Early","T lymphocytes",853,0.43154646250106,0.296600234466589,0
"train","Naive inherited-label classifier","Early","Endothelial cells",33,0.388083371700662,0.151515151515152,0
"train","Naive inherited-label classifier","Early","Myeloid cells",401,0.375522553697786,0.311720698254364,0
