"iter","delta","mean_entropy","train_logloss_inherited","train_accuracy_inherited"
1,0.0830294994451775,0.625476039218399,0.805860616344819,0.717626594511017
2,0.0456088154680181,0.493965355405038,0.698374128000627,0.722458446076537
3,0.026763382646071,0.414110759233718,0.681121375962111,0.725550831078469
4,0.0170052534003879,0.363841364615495,0.699854111374006,0.727870119829919
5,0.0112688810492658,0.33102296674889,0.730442896400758,0.729609586393506
6,0.00764750521447862,0.309102060263054,0.761666420091728,0.730189408581368
7,0.0053318659117838,0.294140314810937,0.789090299700226,0.732315423270197
8,0.00385090340550481,0.283665952083561,0.811732730063659,0.733668341708543
9,0.00288084669130545,0.276128837555158,0.830712274349334,0.733861615771163
10,0.00224856335326936,0.270577002575304,0.84746535115407,0.73289524545806
11,0.00175639479969916,0.266526598684019,0.859584401944168,0.733281793583301
12,0.00141990874054592,0.26341416194182,0.869297791789591,0.733475067645922
13,0.00118016907312471,0.260954987059351,0.877354299925805,0.734054889833784
14,0.00101622491242429,0.258956285795328,0.88420788401908,0.733861615771163
15,0.000903515818420683,0.257290915016651,0.890171058178981,0.734248163896405
16,0.000825189814985286,0.255878012048717,0.895643929851919,0.735021260146888
17,0.000754689110572949,0.254686015256512,0.90083597328039,0.735601082334751
18,0.000671144419570574,0.253703717937361,0.905705405919489,0.73540780827213
19,0.000577574412118301,0.252901354116345,0.910140604069116,0.73540780827213
20,0.000500295317775811,0.25225238614397,0.913867380970399,0.735601082334751
21,0.000437115848723819,0.251723881307324,0.916900234985548,0.735214534209509
22,0.000372760446413657,0.25129621189977,0.919374877676665,0.734827986084267
23,0.000309662025692323,0.25095065945452,0.921324965141371,0.734827986084267
24,0.000255672625024372,0.250662191366895,0.922902271798748,0.734827986084267
25,0.000213217242845904,0.250416124132183,0.924181882971037,0.734441437959026
26,0.000182322881252597,0.250197246036214,0.925270267789765,0.734248163896405
27,0.000157985804929408,0.250003031276602,0.926233082286212,0.734248163896405
28,0.000138860892893077,0.249830682242749,0.927075100830206,0.734054889833784
29,0.000123693355334765,0.249676112521233,0.927826487486743,0.733861615771163
30,0.000111364637207315,0.249536572893266,0.928504961274356,0.734054889833784
