"iter","delta","mean_entropy","mean_mc_entropy","train_logloss_inherited","train_accuracy_inherited"
1,0.0942006581547335,0.576783242345973,0.786391897736456,0.725522200242981,0.77174333204484
2,0.0452027992686928,0.429095522694009,0.539852808619151,0.58757346084804,0.77676845767298
3,0.0207059576071928,0.359029104306915,0.395139567886788,0.55660542961084,0.782180131426363
4,0.00994272443267599,0.327371436154603,0.332327638236268,0.557560825949275,0.781986857363742
5,0.00596614513174083,0.310264455478357,0.297389720345427,0.565407188757134,0.783146501739467
6,0.00438287821860757,0.30017781172303,0.280470398962104,0.57421855372034,0.782953227676846
7,0.0025632818438536,0.296958668009629,0.275354557304405,0.57864335050361,0.78391959798995
8,0.00222049085078197,0.294031979448683,0.271064287616035,0.582813927592623,0.785079242365675
9,0.00229633397686067,0.292773502645857,0.271177265782994,0.585778318869945,0.784112872052571
10,0.00177010262737076,0.291560915822009,0.267029301588749,0.586045249354859,0.782759953614225
11,0.00216665739266731,0.290914576271955,0.26609196270303,0.587252612962971,0.783726323927329
12,0.00201456465969682,0.290530895898143,0.266932758864015,0.588307602724412,0.784306146115191
13,0.00192780131707258,0.290137282074854,0.264710609566943,0.588997679568267,0.78391959798995
14,0.00197754483285853,0.289989629096376,0.266002833318691,0.589882352378475,0.783726323927329
15,0.00178190592935869,0.288411733177193,0.262165978697009,0.590802321404787,0.785079242365675
16,0.00180614739898826,0.288372615966171,0.261685529398588,0.590992215302049,0.785272516428295
17,0.00175838314319845,0.288926251195815,0.262268148662106,0.590378537115359,0.783726323927329
18,0.00206930917358563,0.289313821276556,0.264872859372813,0.590629936570884,0.784112872052571
19,0.00154748386267296,0.289682913814512,0.265091111313356,0.590925504421753,0.783339775802087
20,0.00196792205836839,0.289034570998282,0.263797017975459,0.590906036179181,0.782566679551604
21,0.00172682114019529,0.28866552445415,0.264012871361086,0.590921512140989,0.78391959798995
22,0.00167843761961647,0.288045450072868,0.263325079516644,0.591777890283885,0.783339775802087
23,0.00148231107885216,0.287193286220641,0.262393916064205,0.592646842250907,0.784692694240433
24,0.0019746562912768,0.288549041600829,0.263470048884485,0.591792647998546,0.784885968303054
25,0.00213858900472384,0.288596493327723,0.265272765735175,0.591606528193726,0.78643216080402
26,0.00175178858013224,0.288898613070906,0.264189198532592,0.592199636794286,0.785079242365675
27,0.00194654248677716,0.287795817820028,0.263010103907472,0.592369347211887,0.78643216080402
28,0.00170226964151951,0.288072420547499,0.262960529091802,0.592186583868815,0.786625434866641
29,0.00198910032524213,0.288585761067064,0.262521503339663,0.592291078446313,0.785272516428295
30,0.00160170159969629,0.288856380682718,0.267279383491638,0.592482029803469,0.785272516428295
