"split","model","aggregation","true_class","predicted_class","n_patients"
"train","Categorical MCEM-MMIL","q90_prob","IV","IV",15
"train","Naive inherited-label classifier","q90_prob","I","I",11
"train","Naive inherited-label classifier","q90_prob","I","IV",1
"train","Naive inherited-label classifier","q90_prob","II_III","I",2
"train","Naive inherited-label classifier","q90_prob","II_III","II_III",1
"train","Naive inherited-label classifier","q90_prob","II_III","IV",2
"train","Naive inherited-label classifier","q90_prob","IV","IV",15
"test","Categorical EM-MMIL","q99_prob","I","I",3
"test","Categorical EM-MMIL","q99_prob","I","IV",2
"test","Categorical EM-MMIL","q99_prob","II_III","IV",2
"test","Categorical EM-MMIL","q99_prob","IV","IV",5
"test","Categorical MCEM-MMIL","q99_prob","I","I",3
"test","Categorical MCEM-MMIL","q99_prob","I","IV",2
"test","Categorical MCEM-MMIL","q99_prob","II_III","IV",2
"test","Categorical MCEM-MMIL","q99_prob","IV","IV",5
"test","Naive inherited-label classifier","q99_prob","I","I",3
"test","Naive inherited-label classifier","q99_prob","I","IV",2
"test","Naive inherited-label classifier","q99_prob","II_III","IV",2
"test","Naive inherited-label classifier","q99_prob","IV","IV",5
"train","Categorical EM-MMIL","q99_prob","I","I",11
"train","Categorical EM-MMIL","q99_prob","I","IV",1
"train","Categorical EM-MMIL","q99_prob","II_III","IV",5
"train","Categorical EM-MMIL","q99_prob","IV","IV",15
"train","Categorical MCEM-MMIL","q99_prob","I","I",11
"train","Categorical MCEM-MMIL","q99_prob","I","IV",1
"train","Categorical MCEM-MMIL","q99_prob","II_III","I",1
"train","Categorical MCEM-MMIL","q99_prob","II_III","IV",4
"train","Categorical MCEM-MMIL","q99_prob","IV","IV",15
"train","Naive inherited-label classifier","q99_prob","I","I",10
"train","Naive inherited-label classifier","q99_prob","I","IV",2
"train","Naive inherited-label classifier","q99_prob","II_III","II_III",1
"train","Naive inherited-label classifier","q99_prob","II_III","IV",4
"train","Naive inherited-label classifier","q99_prob","IV","IV",15
