"iter","delta","mean_entropy","mean_mc_entropy","train_logloss_inherited","train_accuracy_inherited"
1,0.0342369416856877,0.813876996075078,0.786391897736456,1.11203458054806,0.338809431774256
2,0.00744113048466708,0.814216370319695,0.779689697811069,1.11173083177452,0.344221105527638
3,0.00693347833075174,0.813850966840855,0.77680738325696,1.11165024559557,0.340162350212601
4,0.00688513600635523,0.814189652352319,0.782499069992745,1.11201660917977,0.337843061461152
5,0.00695607864399615,0.81411608876425,0.777616398522575,1.11160261943848,0.335137224584461
6,0.00731001349473361,0.813992444083193,0.774919802055036,1.11219308582217,0.341515268650947
7,0.00751284759915159,0.814141211040606,0.782247628312542,1.11152546258734,0.339582528024739
8,0.00688523557196377,0.814193505512598,0.780284931063953,1.11166649872794,0.340935446463085
9,0.00686958056362208,0.814137066139559,0.782162970684514,1.11166587652773,0.337069965210669
10,0.00678657355817475,0.814513232703887,0.779313119701895,1.11220858036193,0.337843061461152
11,0.00658182237629152,0.813738903766604,0.779283460557086,1.11138293409818,0.336490143022806
12,0.00729659094789963,0.814117531516686,0.777713145525409,1.11161410543644,0.339582528024739
13,0.00690706591571338,0.813972218576346,0.775233420812947,1.11198412054847,0.340162350212601
14,0.00699858612853522,0.814476761360344,0.779847681331515,1.11199265183591,0.338229609586394
15,0.00708896415202331,0.81390958234492,0.777946075114509,1.11158822111225,0.338422883649014
16,0.00680298838018347,0.814073212973556,0.778031235928253,1.11225764557436,0.336490143022806
17,0.0065450759965944,0.81420537120058,0.781167084864479,1.11178091034647,0.339002705836877
18,0.00671964712899958,0.814077113000227,0.779091021785719,1.11113378988351,0.336876691148048
19,0.00664071400299999,0.8143098957046,0.776737057931548,1.11206675209008,0.339002705836877
20,0.00656579734096826,0.814190474630356,0.780209039370048,1.11184761577509,0.33262466177039
21,0.00649075498839531,0.81397562227508,0.779601355362878,1.11125094762243,0.336876691148048
22,0.00702375395779844,0.813864357287556,0.778636707641739,1.11174689667512,0.34460765365288
23,0.00637968933518841,0.814011754036412,0.780038786472461,1.11146040411541,0.333397758020874
24,0.00677463938410537,0.81434739394841,0.774155216901316,1.11292387368767,0.339195979899498
25,0.00687410775404599,0.814233374192817,0.781453745768063,1.11228000071063,0.33745651333591
26,0.00704205443684325,0.814037999814123,0.779364712580763,1.11077156451504,0.338616157711635
27,0.0065923876510127,0.813945828933833,0.780646779310786,1.11135798527156,0.337843061461152
28,0.0071816231050481,0.814110811850348,0.779722477445785,1.11211223938297,0.337069965210669
29,0.00703066611578942,0.81417866001879,0.77833574343215,1.11196229977347,0.33726323927329
30,0.00668841680237659,0.814279342718051,0.782249415761776,1.11184566494189,0.338229609586394
