"iter","delta","train_soft_entropy","train_log_loss_inherited"
1,0.0786713313151491,0.648609850063883,0.842656702116532
2,0.0419073127674934,0.536022895558997,0.754215594648623
3,0.0226667509377508,0.471762005145929,0.738522847370954
4,0.0126175351655622,0.436221461654907,0.74614703077025
5,0.00748913800500759,0.41574758384789,0.758856893201183
6,0.00485524520364459,0.402871879049594,0.771508902854378
7,0.00339656593266494,0.394022240385461,0.782937448964854
8,0.00251429591232544,0.387492292215219,0.793007220310411
9,0.00193997175321969,0.38242093935676,0.801856102688495
10,0.00154469064862129,0.37832003102512,0.809689444360726
11,0.00126082909417405,0.374910518166462,0.816681461208946
12,0.00104908961823454,0.372021159090083,0.822960716738113
13,0.000885250915642928,0.369537777709411,0.82862567653216
14,0.000755283139981027,0.367385338233772,0.833745781821297
15,0.000649784484538039,0.36551092347311,0.838364637093875
16,0.00056296435948791,0.363870947677655,0.842535708850588
17,0.000490636339014027,0.36243150283025,0.846300234520371
18,0.0004301523445726,0.36116488902074,0.8496914507859
19,0.000379347783813405,0.360046793088567,0.852747076043659
20,0.00033657935834014,0.359055963496174,0.855503396215257
21,0.000300531697829396,0.358173889188764,0.857995060300053
22,0.000270147044922552,0.357384354433395,0.860254962931697
23,0.000244551893903799,0.356673265960335,0.862313643613053
24,0.000223024649386841,0.356028402918892,0.864199083900376
25,0.000204951503529364,0.355439212920766,0.865936572686317
26,0.000189797213271364,0.354896636529094,0.867548669115299
27,0.000177090285144774,0.354392858921528,0.869055403800089
28,0.000166505455273151,0.353921240097131,0.870474418198758
29,0.000157704135780324,0.35347599250028,0.871821387275998
30,0.000150425899904843,0.353052169412952,0.873110013855604
31,0.000144465866833327,0.352645907663287,0.87435217269058
32,0.000139623999627617,0.352252825448868,0.875558907544873
33,0.000135789969035796,0.351869842489476,0.876739672167985
34,0.000132834210959536,0.351494139218689,0.877903084799135
35,0.000130658660639282,0.351123155872667,0.879057037850018
36,0.000129186806432991,0.35075455926368,0.88020884774239
37,0.000128352669393106,0.350386201013091,0.881365396660237
38,0.000128106936165839,0.350015682710203,0.882533457932528
39,0.000128398657895331,0.34964176952757,0.883719064080175
40,0.00012918785828056,0.349262484361647,0.884928593436286
