"Var1","Var2","Freq"
"tL/B","GrB-secreting B cells",1
"tLung","GrB-secreting B cells",0
"mBrain","Lymphatic ECs",2
"mLN","Lymphatic ECs",6
"nLN","Lymphatic ECs",0
"nLung","Lymphatic ECs",207
"PE","Lymphatic ECs",0
"tL/B","Lymphatic ECs",1
"tLung","Lymphatic ECs",73
"mBrain","Malignant cells",15423
"mLN","Malignant cells",2961
"nLN","Malignant cells",0
"nLung","Malignant cells",0
"PE","Malignant cells",0
"tL/B","Malignant cells",6400
"tLung","Malignant cells",0
"mBrain","MALT B cells",326
"mLN","MALT B cells",208
"nLN","MALT B cells",525
"nLung","MALT B cells",76
"PE","MALT B cells",109
"tL/B","MALT B cells",50
"tLung","MALT B cells",1126
"mBrain","MAST",508
"mLN","MAST",0
"nLN","MAST",0
"nLung","MAST",1079
"PE","MAST",0
"tL/B","MAST",0
"tLung","MAST",1809
"mBrain","Mesothelial cells",0
"mLN","Mesothelial cells",0
"nLN","Mesothelial cells",0
"nLung","Mesothelial cells",13
"PE","Mesothelial cells",0
"tL/B","Mesothelial cells",1
"tLung","Mesothelial cells",21
"mBrain","Microglia/Mac",563
"mLN","Microglia/Mac",7
"nLN","Microglia/Mac",0
"nLung","Microglia/Mac",0
"PE","Microglia/Mac",1
"tL/B","Microglia/Mac",0
"tLung","Microglia/Mac",0
"mBrain","mo-Mac",3942
"mLN","mo-Mac",3841
"nLN","mo-Mac",33
"nLung","mo-Mac",808
"PE","mo-Mac",26
"tL/B","mo-Mac",460
"tLung","mo-Mac",4678
"mBrain","Monocytes",251
"mLN","Monocytes",563
"nLN","Monocytes",32
"nLung","Monocytes",2319
"PE","Monocytes",8
"tL/B","Monocytes",499
"tLung","Monocytes",639
"mBrain","Myofibroblasts",10
"mLN","Myofibroblasts",17
"nLN","Myofibroblasts",0
"nLung","Myofibroblasts",15
"PE","Myofibroblasts",0
"tL/B","Myofibroblasts",52
"tLung","Myofibroblasts",245
"mBrain","Naive CD4+ T",259
"mLN","Naive CD4+ T",1757
"nLN","Naive CD4+ T",13713
"nLung","Naive CD4+ T",280
"PE","Naive CD4+ T",4365
"tL/B","Naive CD4+ T",410
"tLung","Naive CD4+ T",1743
"mBrain","Naive CD8+ T",39
"mLN","Naive CD8+ T",231
"nLN","Naive CD8+ T",1317
"nLung","Naive CD8+ T",61
"PE","Naive CD8+ T",1418
"tL/B","Naive CD8+ T",105
"tLung","Naive CD8+ T",203
"mBrain","NK",306
"mLN","NK",721
"nLN","NK",307
"nLung","NK",4752
"PE","NK",517
"tL/B","NK",406
"tLung","NK",739
"mBrain","pDCs",2
"mLN","pDCs",43
"nLN","pDCs",2
"nLung","pDCs",2
"PE","pDCs",0
"tL/B","pDCs",7
"tLung","pDCs",116
"mBrain","Pericytes",217
"mLN","Pericytes",0
"nLN","Pericytes",0
"nLung","Pericytes",28
"PE","Pericytes",0
"tL/B","Pericytes",9
"tLung","Pericytes",45
"mBrain","Plasma cells",299
"mLN","Plasma cells",82
"nLN","Plasma cells",488
"nLung","Plasma cells",23
"PE","Plasma cells",3
"tL/B","Plasma cells",27
"tLung","Plasma cells",314
"mBrain","Pleural Mac",73
"mLN","Pleural Mac",77
"nLN","Pleural Mac",15
"nLung","Pleural Mac",67
"PE","Pleural Mac",2713
"tL/B","Pleural Mac",5
"tLung","Pleural Mac",29
"mBrain","Smooth muscle cells",8
"mLN","Smooth muscle cells",0
"nLN","Smooth muscle cells",0
"nLung","Smooth muscle cells",69
"PE","Smooth muscle cells",0
"tL/B","Smooth muscle cells",7
"tLung","Smooth muscle cells",139
"mBrain","Stalk-like ECs",2
"mLN","Stalk-like ECs",0
"nLN","Stalk-like ECs",0
"nLung","Stalk-like ECs",322
"PE","Stalk-like ECs",0
"tL/B","Stalk-like ECs",0
"tLung","Stalk-like ECs",103
"mBrain","Tip-like ECs",0
"mLN","Tip-like ECs",0
"nLN","Tip-like ECs",0
"nLung","Tip-like ECs",654
"PE","Tip-like ECs",0
"tL/B","Tip-like ECs",0
"tLung","Tip-like ECs",168
"mBrain","Treg",348
"mLN","Treg",633
"nLN","Treg",1516
"nLung","Treg",196
"PE","Treg",519
"tL/B","Treg",346
"tLung","Treg",1608
"mBrain","tS1",0
"mLN","tS1",0
"nLN","tS1",0
"nLung","tS1",0
"PE","tS1",0
"tL/B","tS1",0
"tLung","tS1",3270
"mBrain","tS2",0
"mLN","tS2",0
"nLN","tS2",0
"nLung","tS2",0
"PE","tS2",0
"tL/B","tS2",0
"tLung","tS2",3018
"mBrain","tS3",0
"mLN","tS3",0
"nLN","tS3",0
"nLung","tS3",0
"PE","tS3",0
"tL/B","tS3",0
"tLung","tS3",64
"mBrain","Tumor ECs",155
"mLN","Tumor ECs",2
"nLN","Tumor ECs",0
"nLung","Tumor ECs",47
"PE","Tumor ECs",0
"tL/B","Tumor ECs",16
"tLung","Tumor ECs",274
"mBrain","Undetermined",1261
"mLN","Undetermined",924
"nLN","Undetermined",1283
"nLung","Undetermined",373
"PE","Undetermined",359
"tL/B","Undetermined",270
"tLung","Undetermined",987
"mBrain",NA,2875
"mLN",NA,1911
"nLN",NA,6096
"nLung",NA,6614
"PE",NA,4764
"tL/B",NA,1145
"tLung",NA,6660
