"iter","delta","mean_entropy","train_logloss_inherited","train_accuracy_inherited"
1,0.0974950683034573,0.569069079239466,0.714860304927053,0.78391959798995
2,0.0455966028568185,0.419785175312893,0.578042818654969,0.787785079242366
3,0.021593941507266,0.347864673375268,0.550279712713555,0.790490916119057
4,0.0111306999738538,0.312463905352206,0.55523252321199,0.791457286432161
5,0.00633905125883503,0.293336065685485,0.567168837747182,0.791070738306919
6,0.00392350659350589,0.282071280427546,0.578971439916359,0.791843834557402
7,0.00256531286132877,0.27508467477989,0.588735170205684,0.792616930807886
8,0.00174055322012629,0.270613099848795,0.596135470552527,0.792230382682644
9,0.00122239410213472,0.267664165567972,0.601506691165587,0.792423656745265
10,0.000888200095340511,0.265649815973336,0.605370773339689,0.792230382682644
11,0.000665336947903688,0.264220132537034,0.608188642885708,0.791843834557402
12,0.000511870303464189,0.263165951236685,0.610296414431406,0.791457286432161
13,0.000403287004625731,0.262360627544809,0.611919336161237,0.79126401236954
14,0.000324340537100338,0.261725617468607,0.613204994544914,0.79126401236954
15,0.000265854010146622,0.26121074960492,0.614250674594155,0.791457286432161
16,0.000221643597877207,0.26078295866433,0.615121727959233,0.791457286432161
17,0.00018773078383532,0.260419785292251,0.615863083695188,0.79126401236954
18,0.000161427915237115,0.260105545460989,0.616506360983037,0.791457286432161
19,0.000140808732089569,0.259829012124414,0.617074304600647,0.791457286432161
20,0.000124462422751523,0.259581971263548,0.617583604266323,0.791650560494782
21,0.000111392611559408,0.259358296495618,0.618046727961234,0.791650560494782
22,0.000100847479020294,0.259153339775198,0.618473142061912,0.791650560494782
23,9.2300865895352e-05,0.258963520160592,0.618870141492584,0.791457286432161
