"experiment_id","task_type","categorical_scheme","feature_method","n_components","model_backend","glmnet_alpha","seed","rho","label_strength","mcem_samples","model","aggregation","n_patients","n_early","n_advanced","auroc","multiclass_logloss","accuracy","balanced_accuracy","macro_f1","metric_name","metric_value"
"EXP009_binary_PCAk50_glmnet_ridge_seed2026","binary",NA,"PCA",50,"glmnet",0,2026,0.7,NA,30,"Deterministic EM-MMIL","median_prob",11,5,6,1,NA,NA,NA,NA,"auroc",1
"EXP009_binary_PCAk50_glmnet_ridge_seed2026","binary",NA,"PCA",50,"glmnet",0,2026,0.7,NA,30,"MCEM-MMIL","median_prob",11,5,6,1,NA,NA,NA,NA,"auroc",1
"EXP009_binary_PCAk50_glmnet_ridge_seed2026","binary",NA,"PCA",50,"glmnet",0,2026,0.7,NA,30,"Naive inherited-label classifier","mean_prob",11,5,6,1,NA,NA,NA,NA,"auroc",1
"EXP010_binary_PCAk50_glmnet_elasticnet_seed2026","binary",NA,"PCA",50,"glmnet",0.5,2026,0.7,NA,30,"Deterministic EM-MMIL","median_prob",11,5,6,1,NA,NA,NA,NA,"auroc",1
"EXP010_binary_PCAk50_glmnet_elasticnet_seed2026","binary",NA,"PCA",50,"glmnet",0.5,2026,0.7,NA,30,"MCEM-MMIL","mean_prob",11,5,6,0.966666666666667,NA,NA,NA,NA,"auroc",0.966666666666667
"EXP010_binary_PCAk50_glmnet_elasticnet_seed2026","binary",NA,"PCA",50,"glmnet",0.5,2026,0.7,NA,30,"Naive inherited-label classifier","mean_prob",11,5,6,1,NA,NA,NA,NA,"auroc",1
"EXP011_binary_PCAk50_glmnet_lasso_seed2026","binary",NA,"PCA",50,"glmnet",1,2026,0.7,NA,30,"Deterministic EM-MMIL","mean_prob",11,5,6,0.966666666666667,NA,NA,NA,NA,"auroc",0.966666666666667
"EXP011_binary_PCAk50_glmnet_lasso_seed2026","binary",NA,"PCA",50,"glmnet",1,2026,0.7,NA,30,"MCEM-MMIL","mean_prob",11,5,6,0.966666666666667,NA,NA,NA,NA,"auroc",0.966666666666667
"EXP011_binary_PCAk50_glmnet_lasso_seed2026","binary",NA,"PCA",50,"glmnet",1,2026,0.7,NA,30,"Naive inherited-label classifier","mean_prob",11,5,6,1,NA,NA,NA,NA,"auroc",1
"EXP012_binary_PCAk50_xgboost_seed2026","binary",NA,"PCA",50,"xgboost",NA,2026,0.7,NA,30,"Deterministic EM-MMIL","median_prob",11,5,6,0.933333333333333,NA,NA,NA,NA,"auroc",0.933333333333333
"EXP012_binary_PCAk50_xgboost_seed2026","binary",NA,"PCA",50,"xgboost",NA,2026,0.7,NA,30,"MCEM-MMIL","median_prob",11,5,6,0.9,NA,NA,NA,NA,"auroc",0.9
"EXP012_binary_PCAk50_xgboost_seed2026","binary",NA,"PCA",50,"xgboost",NA,2026,0.7,NA,30,"Naive inherited-label classifier","mean_prob",11,5,6,1,NA,NA,NA,NA,"auroc",1
"EXP013_binary_ICAk10_glmnet_ridge_seed2026","binary",NA,"ICA",10,"glmnet",0,2026,0.7,NA,30,"Deterministic EM-MMIL","q99_prob",11,5,6,0.9,NA,NA,NA,NA,"auroc",0.9
"EXP013_binary_ICAk10_glmnet_ridge_seed2026","binary",NA,"ICA",10,"glmnet",0,2026,0.7,NA,30,"MCEM-MMIL","q99_prob",11,5,6,0.9,NA,NA,NA,NA,"auroc",0.9
"EXP013_binary_ICAk10_glmnet_ridge_seed2026","binary",NA,"ICA",10,"glmnet",0,2026,0.7,NA,30,"Naive inherited-label classifier","prop_gt_0.5",11,5,6,0.933333333333333,NA,NA,NA,NA,"auroc",0.933333333333333
"EXP014_binary_ICAk10_glmnet_elasticnet_seed2026","binary",NA,"ICA",10,"glmnet",0.5,2026,0.7,NA,30,"Deterministic EM-MMIL","q99_prob",11,5,6,0.9,NA,NA,NA,NA,"auroc",0.9
"EXP014_binary_ICAk10_glmnet_elasticnet_seed2026","binary",NA,"ICA",10,"glmnet",0.5,2026,0.7,NA,30,"MCEM-MMIL","q99_prob",11,5,6,0.9,NA,NA,NA,NA,"auroc",0.9
"EXP014_binary_ICAk10_glmnet_elasticnet_seed2026","binary",NA,"ICA",10,"glmnet",0.5,2026,0.7,NA,30,"Naive inherited-label classifier","prop_gt_0.5",11,5,6,0.9,NA,NA,NA,NA,"auroc",0.9
"EXP015_binary_ICAk10_glmnet_lasso_seed2026","binary",NA,"ICA",10,"glmnet",1,2026,0.7,NA,30,"Deterministic EM-MMIL","median_prob",11,5,6,0.866666666666667,NA,NA,NA,NA,"auroc",0.866666666666667
"EXP015_binary_ICAk10_glmnet_lasso_seed2026","binary",NA,"ICA",10,"glmnet",1,2026,0.7,NA,30,"MCEM-MMIL","median_prob",11,5,6,0.866666666666667,NA,NA,NA,NA,"auroc",0.866666666666667
"EXP015_binary_ICAk10_glmnet_lasso_seed2026","binary",NA,"ICA",10,"glmnet",1,2026,0.7,NA,30,"Naive inherited-label classifier","prop_gt_0.5",11,5,6,0.9,NA,NA,NA,NA,"auroc",0.9
"EXP016_binary_ICAk10_xgboost_seed2026","binary",NA,"ICA",10,"xgboost",NA,2026,0.7,NA,30,"Deterministic EM-MMIL","mean_prob",11,5,6,0.866666666666667,NA,NA,NA,NA,"auroc",0.866666666666667
"EXP016_binary_ICAk10_xgboost_seed2026","binary",NA,"ICA",10,"xgboost",NA,2026,0.7,NA,30,"MCEM-MMIL","median_prob",11,5,6,0.866666666666667,NA,NA,NA,NA,"auroc",0.866666666666667
"EXP016_binary_ICAk10_xgboost_seed2026","binary",NA,"ICA",10,"xgboost",NA,2026,0.7,NA,30,"Naive inherited-label classifier","mean_prob",11,5,6,0.933333333333333,NA,NA,NA,NA,"auroc",0.933333333333333
"EXP017_binary_ICAk20_glmnet_ridge_seed2026","binary",NA,"ICA",20,"glmnet",0,2026,0.7,NA,30,"Deterministic EM-MMIL","q99_prob",11,5,6,0.966666666666667,NA,NA,NA,NA,"auroc",0.966666666666667
"EXP017_binary_ICAk20_glmnet_ridge_seed2026","binary",NA,"ICA",20,"glmnet",0,2026,0.7,NA,30,"MCEM-MMIL","q99_prob",11,5,6,0.966666666666667,NA,NA,NA,NA,"auroc",0.966666666666667
"EXP017_binary_ICAk20_glmnet_ridge_seed2026","binary",NA,"ICA",20,"glmnet",0,2026,0.7,NA,30,"Naive inherited-label classifier","prop_gt_0.5",11,5,6,1,NA,NA,NA,NA,"auroc",1
"EXP018_binary_ICAk20_glmnet_elasticnet_seed2026","binary",NA,"ICA",20,"glmnet",0.5,2026,0.7,NA,30,"Deterministic EM-MMIL","prop_gt_0.9",11,5,6,0.9,NA,NA,NA,NA,"auroc",0.9
"EXP018_binary_ICAk20_glmnet_elasticnet_seed2026","binary",NA,"ICA",20,"glmnet",0.5,2026,0.7,NA,30,"MCEM-MMIL","prop_gt_0.5",11,5,6,0.933333333333333,NA,NA,NA,NA,"auroc",0.933333333333333
"EXP018_binary_ICAk20_glmnet_elasticnet_seed2026","binary",NA,"ICA",20,"glmnet",0.5,2026,0.7,NA,30,"Naive inherited-label classifier","prop_gt_0.5",11,5,6,1,NA,NA,NA,NA,"auroc",1
"EXP019_binary_ICAk20_glmnet_lasso_seed2026","binary",NA,"ICA",20,"glmnet",1,2026,0.7,NA,30,"Deterministic EM-MMIL","mean_prob",11,5,6,0.833333333333333,NA,NA,NA,NA,"auroc",0.833333333333333
"EXP019_binary_ICAk20_glmnet_lasso_seed2026","binary",NA,"ICA",20,"glmnet",1,2026,0.7,NA,30,"MCEM-MMIL","prop_gt_0.9",11,5,6,0.9,NA,NA,NA,NA,"auroc",0.9
"EXP019_binary_ICAk20_glmnet_lasso_seed2026","binary",NA,"ICA",20,"glmnet",1,2026,0.7,NA,30,"Naive inherited-label classifier","prop_gt_0.5",11,5,6,1,NA,NA,NA,NA,"auroc",1
"EXP020_binary_ICAk20_xgboost_seed2026","binary",NA,"ICA",20,"xgboost",NA,2026,0.7,NA,30,"Deterministic EM-MMIL","mean_prob",11,5,6,1,NA,NA,NA,NA,"auroc",1
"EXP020_binary_ICAk20_xgboost_seed2026","binary",NA,"ICA",20,"xgboost",NA,2026,0.7,NA,30,"MCEM-MMIL","mean_prob",11,5,6,1,NA,NA,NA,NA,"auroc",1
"EXP020_binary_ICAk20_xgboost_seed2026","binary",NA,"ICA",20,"xgboost",NA,2026,0.7,NA,30,"Naive inherited-label classifier","mean_prob",11,5,6,1,NA,NA,NA,NA,"auroc",1
"EXP021_binary_ICAk50_glmnet_ridge_seed2026","binary",NA,"ICA",50,"glmnet",0,2026,0.7,NA,30,"Deterministic EM-MMIL","median_prob",11,5,6,1,NA,NA,NA,NA,"auroc",1
"EXP021_binary_ICAk50_glmnet_ridge_seed2026","binary",NA,"ICA",50,"glmnet",0,2026,0.7,NA,30,"MCEM-MMIL","median_prob",11,5,6,1,NA,NA,NA,NA,"auroc",1
"EXP021_binary_ICAk50_glmnet_ridge_seed2026","binary",NA,"ICA",50,"glmnet",0,2026,0.7,NA,30,"Naive inherited-label classifier","mean_prob",11,5,6,1,NA,NA,NA,NA,"auroc",1
"EXP022_binary_ICAk50_glmnet_elasticnet_seed2026","binary",NA,"ICA",50,"glmnet",0.5,2026,0.7,NA,30,"Deterministic EM-MMIL","mean_prob",11,5,6,1,NA,NA,NA,NA,"auroc",1
"EXP022_binary_ICAk50_glmnet_elasticnet_seed2026","binary",NA,"ICA",50,"glmnet",0.5,2026,0.7,NA,30,"MCEM-MMIL","mean_prob",11,5,6,1,NA,NA,NA,NA,"auroc",1
"EXP022_binary_ICAk50_glmnet_elasticnet_seed2026","binary",NA,"ICA",50,"glmnet",0.5,2026,0.7,NA,30,"Naive inherited-label classifier","mean_prob",11,5,6,1,NA,NA,NA,NA,"auroc",1
"EXP023_binary_ICAk50_glmnet_lasso_seed2026","binary",NA,"ICA",50,"glmnet",1,2026,0.7,NA,30,"Deterministic EM-MMIL","mean_prob",11,5,6,1,NA,NA,NA,NA,"auroc",1
"EXP023_binary_ICAk50_glmnet_lasso_seed2026","binary",NA,"ICA",50,"glmnet",1,2026,0.7,NA,30,"MCEM-MMIL","mean_prob",11,5,6,1,NA,NA,NA,NA,"auroc",1
"EXP023_binary_ICAk50_glmnet_lasso_seed2026","binary",NA,"ICA",50,"glmnet",1,2026,0.7,NA,30,"Naive inherited-label classifier","mean_prob",11,5,6,1,NA,NA,NA,NA,"auroc",1
"EXP024_binary_ICAk50_xgboost_seed2026","binary",NA,"ICA",50,"xgboost",NA,2026,0.7,NA,30,"Deterministic EM-MMIL","median_prob",11,5,6,0.966666666666667,NA,NA,NA,NA,"auroc",0.966666666666667
"EXP024_binary_ICAk50_xgboost_seed2026","binary",NA,"ICA",50,"xgboost",NA,2026,0.7,NA,30,"MCEM-MMIL","median_prob",11,5,6,1,NA,NA,NA,NA,"auroc",1
"EXP024_binary_ICAk50_xgboost_seed2026","binary",NA,"ICA",50,"xgboost",NA,2026,0.7,NA,30,"Naive inherited-label classifier","mean_prob",11,5,6,0.966666666666667,NA,NA,NA,NA,"auroc",0.966666666666667
"EXP025_binary_NMFk10_glmnet_ridge_seed2026","binary",NA,"NMF",10,"glmnet",0,2026,0.7,NA,30,"Deterministic EM-MMIL","mean_prob",11,5,6,0.8,NA,NA,NA,NA,"auroc",0.8
"EXP025_binary_NMFk10_glmnet_ridge_seed2026","binary",NA,"NMF",10,"glmnet",0,2026,0.7,NA,30,"MCEM-MMIL","mean_prob",11,5,6,0.8,NA,NA,NA,NA,"auroc",0.8
"EXP025_binary_NMFk10_glmnet_ridge_seed2026","binary",NA,"NMF",10,"glmnet",0,2026,0.7,NA,30,"Naive inherited-label classifier","mean_prob",11,5,6,0.866666666666667,NA,NA,NA,NA,"auroc",0.866666666666667
"EXP026_binary_NMFk10_glmnet_elasticnet_seed2026","binary",NA,"NMF",10,"glmnet",0.5,2026,0.7,NA,30,"Deterministic EM-MMIL","q99_prob",11,5,6,0.866666666666667,NA,NA,NA,NA,"auroc",0.866666666666667
"EXP026_binary_NMFk10_glmnet_elasticnet_seed2026","binary",NA,"NMF",10,"glmnet",0.5,2026,0.7,NA,30,"MCEM-MMIL","q99_prob",11,5,6,0.866666666666667,NA,NA,NA,NA,"auroc",0.866666666666667
"EXP026_binary_NMFk10_glmnet_elasticnet_seed2026","binary",NA,"NMF",10,"glmnet",0.5,2026,0.7,NA,30,"Naive inherited-label classifier","mean_prob",11,5,6,0.866666666666667,NA,NA,NA,NA,"auroc",0.866666666666667
"EXP027_binary_NMFk10_glmnet_lasso_seed2026","binary",NA,"NMF",10,"glmnet",1,2026,0.7,NA,30,"Deterministic EM-MMIL","mean_prob",11,5,6,0.833333333333333,NA,NA,NA,NA,"auroc",0.833333333333333
"EXP027_binary_NMFk10_glmnet_lasso_seed2026","binary",NA,"NMF",10,"glmnet",1,2026,0.7,NA,30,"MCEM-MMIL","mean_prob",11,5,6,0.833333333333333,NA,NA,NA,NA,"auroc",0.833333333333333
"EXP027_binary_NMFk10_glmnet_lasso_seed2026","binary",NA,"NMF",10,"glmnet",1,2026,0.7,NA,30,"Naive inherited-label classifier","mean_prob",11,5,6,0.866666666666667,NA,NA,NA,NA,"auroc",0.866666666666667
"EXP028_binary_NMFk10_xgboost_seed2026","binary",NA,"NMF",10,"xgboost",NA,2026,0.7,NA,30,"Deterministic EM-MMIL","q99_prob",11,5,6,0.9,NA,NA,NA,NA,"auroc",0.9
"EXP028_binary_NMFk10_xgboost_seed2026","binary",NA,"NMF",10,"xgboost",NA,2026,0.7,NA,30,"MCEM-MMIL","q99_prob",11,5,6,0.9,NA,NA,NA,NA,"auroc",0.9
"EXP028_binary_NMFk10_xgboost_seed2026","binary",NA,"NMF",10,"xgboost",NA,2026,0.7,NA,30,"Naive inherited-label classifier","mean_prob",11,5,6,0.9,NA,NA,NA,NA,"auroc",0.9
"EXP029_binary_NMFk20_glmnet_ridge_seed2026","binary",NA,"NMF",20,"glmnet",0,2026,0.7,NA,30,"Deterministic EM-MMIL","median_prob",11,5,6,1,NA,NA,NA,NA,"auroc",1
"EXP029_binary_NMFk20_glmnet_ridge_seed2026","binary",NA,"NMF",20,"glmnet",0,2026,0.7,NA,30,"MCEM-MMIL","median_prob",11,5,6,1,NA,NA,NA,NA,"auroc",1
"EXP029_binary_NMFk20_glmnet_ridge_seed2026","binary",NA,"NMF",20,"glmnet",0,2026,0.7,NA,30,"Naive inherited-label classifier","mean_prob",11,5,6,1,NA,NA,NA,NA,"auroc",1
"EXP030_binary_NMFk20_glmnet_elasticnet_seed2026","binary",NA,"NMF",20,"glmnet",0.5,2026,0.7,NA,30,"Deterministic EM-MMIL","median_prob",11,5,6,1,NA,NA,NA,NA,"auroc",1
"EXP030_binary_NMFk20_glmnet_elasticnet_seed2026","binary",NA,"NMF",20,"glmnet",0.5,2026,0.7,NA,30,"MCEM-MMIL","mean_prob",11,5,6,0.966666666666667,NA,NA,NA,NA,"auroc",0.966666666666667
"EXP030_binary_NMFk20_glmnet_elasticnet_seed2026","binary",NA,"NMF",20,"glmnet",0.5,2026,0.7,NA,30,"Naive inherited-label classifier","mean_prob",11,5,6,1,NA,NA,NA,NA,"auroc",1
"EXP031_binary_NMFk20_glmnet_lasso_seed2026","binary",NA,"NMF",20,"glmnet",1,2026,0.7,NA,30,"Deterministic EM-MMIL","q90_prob",11,5,6,0.966666666666667,NA,NA,NA,NA,"auroc",0.966666666666667
