"iter","delta","mean_entropy","mean_mc_entropy","train_logloss_inherited","train_accuracy_inherited"
1,0.0872927179651142,0.616450169563666,0.786391897736456,0.79316307048012,0.70641669887901
2,0.0460767252437,0.483454694661842,0.580040340765908,0.686893605944318,0.714147661383842
3,0.0247615771396983,0.407696187298568,0.448650302540314,0.671150211700505,0.721685349826053
4,0.0152880872466919,0.362348088824595,0.378535791070985,0.687228519203493,0.724197912640124
5,0.00965430520682467,0.333359487264302,0.333123603983485,0.711445274615663,0.726323927328952
6,0.0067447200883594,0.313657162145128,0.305274198437473,0.737894768025889,0.726323927328952
7,0.00491856768986057,0.301303434558582,0.29007454867837,0.757544204388732,0.726710475454194
8,0.00328534974906598,0.292722925054452,0.278458719275817,0.774030079737866,0.725550831078469
9,0.00186153500996827,0.288578693412888,0.272455371933931,0.782984505460433,0.725164282953228
10,0.00229068650900995,0.283945744144131,0.266725443392462,0.794271830361951,0.72574410514109
11,0.0018066171023189,0.280293584261319,0.261525348974555,0.803013425065486,0.726710475454194
12,0.00138887719071974,0.278348184936553,0.259440984735161,0.808278228666694,0.727097023579436
13,0.00165646233164579,0.276494277320239,0.256300433070059,0.811648005475837,0.726323927328952
14,0.00137928941751523,0.276172538884123,0.25773895586687,0.812324997425456,0.726517201391573
15,0.00128830545198322,0.274936064214709,0.255913040471204,0.815737276532197,0.726517201391573
16,0.00172743060773121,0.272772436059408,0.253533594149424,0.822895819244965,0.726130653266332
17,0.00128666389098843,0.271962948385362,0.251728744328071,0.825208170584656,0.726323927328952
18,0.00144168212892421,0.272004475329676,0.252358963970614,0.824641305296499,0.726710475454194
19,0.00160774561941694,0.272629217883767,0.252502209873049,0.821574521927808,0.726903749516815
20,0.00149486719911134,0.273024857388213,0.253369581041377,0.819923048186321,0.727870119829919
21,0.00148488832440426,0.272226541562921,0.252056711688327,0.821920235176944,0.726517201391573
22,0.00129493212508098,0.272609032970532,0.25299534585783,0.819807642979883,0.726517201391573
23,0.00148287769660522,0.272052961137495,0.252304769280611,0.822543251782992,0.726323927328952
24,0.00154616980251289,0.272041956226992,0.251631147500261,0.823279993553313,0.727097023579436
25,0.00112154407600716,0.272528690179196,0.252039222319163,0.822189072449152,0.727676845767298
26,0.0012957337108989,0.272145167602151,0.251743309669023,0.823319774489443,0.727483571704677
27,0.00139252854729804,0.27106753320063,0.251405012456307,0.826554536152838,0.72806339389254
28,0.00160301824541197,0.271312640449842,0.251424612570973,0.824756103252305,0.727483571704677
29,0.00141573546111952,0.27091104374805,0.251188523364304,0.826605339988022,0.727483571704677
30,0.00160450741126571,0.27182250830881,0.253001354458619,0.824717688268212,0.727676845767298
