"split","model","n_patients","multiclass_logloss","accuracy","balanced_accuracy","macro_f1","aggregation"
"test","Categorical EM-MMIL",12,0.857405861564136,0.75,0.6,0.816666666666667,"mean_prob"
"test","Categorical EM-MMIL",12,0.953318068568608,0.833333333333333,0.666666666666667,0.916666666666667,"median_prob"
"test","Categorical EM-MMIL",12,0.978395966782177,0.75,0.6,0.816666666666667,"q90_prob"
"test","Categorical EM-MMIL",12,1.01542481130223,0.666666666666667,0.533333333333333,0.732142857142857,"q99_prob"
"test","Categorical MCEM-MMIL",12,0.856686902735939,0.75,0.6,0.816666666666667,"mean_prob"
"test","Categorical MCEM-MMIL",12,0.949750858429628,0.833333333333333,0.666666666666667,0.909090909090909,"median_prob"
"test","Categorical MCEM-MMIL",12,0.971427762995062,0.75,0.6,0.816666666666667,"q90_prob"
"test","Categorical MCEM-MMIL",12,1.01384806238277,0.666666666666667,0.533333333333333,0.732142857142857,"q99_prob"
"test","Naive inherited-label classifier",12,0.758374443242949,0.833333333333333,0.666666666666667,0.909090909090909,"median_prob"
"test","Naive inherited-label classifier",12,0.781507743065422,0.75,0.6,0.816666666666667,"mean_prob"
"test","Naive inherited-label classifier",12,0.870985712965449,0.75,0.6,0.816666666666667,"q90_prob"
"test","Naive inherited-label classifier",12,0.967935659709684,0.666666666666667,0.533333333333333,0.732142857142857,"q99_prob"
"train","Categorical EM-MMIL",32,0.693536091210474,0.78125,0.611111111111111,0.841176470588235,"mean_prob"
"train","Categorical EM-MMIL",32,0.699779893027326,0.75,0.583333333333333,0.803571428571429,"median_prob"
"train","Categorical EM-MMIL",32,0.78960819682877,0.78125,0.611111111111111,0.851449275362319,"q90_prob"
"train","Categorical EM-MMIL",32,0.912217319031684,0.71875,0.555555555555556,0.784615384615385,"q99_prob"
"train","Categorical MCEM-MMIL",32,0.69228050880014,0.75,0.583333333333333,0.803571428571429,"mean_prob"
"train","Categorical MCEM-MMIL",32,0.697019758051548,0.75,0.583333333333333,0.803571428571429,"median_prob"
"train","Categorical MCEM-MMIL",32,0.78848542182737,0.78125,0.611111111111111,0.851449275362319,"q90_prob"
"train","Categorical MCEM-MMIL",32,0.910128968525524,0.71875,0.555555555555556,0.784615384615385,"q99_prob"
"train","Naive inherited-label classifier",32,0.689021974528369,0.71875,0.561111111111111,0.775,"median_prob"
"train","Naive inherited-label classifier",32,0.709288446242061,0.71875,0.555555555555556,0.769041769041769,"mean_prob"
"train","Naive inherited-label classifier",32,0.779937117591331,0.71875,0.555555555555556,0.775689223057644,"q90_prob"
"train","Naive inherited-label classifier",32,0.883982497244677,0.71875,0.555555555555556,0.784615384615385,"q99_prob"
