"split","model","Stage_cat","Cell_type","class","n_cells","mean_prob","q90_prob"
"test","Categorical EM-MMIL","IV","Myeloid cells","I",146,0.176538455187666,0.327739845125452
"test","Categorical EM-MMIL","IV","Epithelial cells","I",379,0.133716354326108,0.299417368783999
"test","Categorical EM-MMIL","IV","Oligodendrocytes","I",2,0.00705520636213946,0.00966623061606285
"test","Categorical EM-MMIL","IV","Oligodendrocytes","II_III",2,0.146520079042805,0.250127578929158
"test","Categorical EM-MMIL","IV","Fibroblasts","II_III",5,0.081191954295221,0.163556974635923
"test","Categorical EM-MMIL","IV","Undetermined","II_III",8,0.0083575976688747,0.00923448089474057
"test","Categorical EM-MMIL","IV","NK cells","II_III",42,0.00704607541715844,0.00782788082578336
"test","Categorical EM-MMIL","IV","T lymphocytes","II_III",211,0.00703903328312415,0.00801859874805496
"test","Categorical EM-MMIL","IV","B lymphocytes","II_III",77,0.00633657737386825,0.00717988818981085
"test","Categorical EM-MMIL","IV","Myeloid cells","II_III",146,0.00545560709454388,0.0076484829076436
"test","Categorical EM-MMIL","IV","Epithelial cells","II_III",379,0.00531538350017495,0.00837918693585705
"test","Categorical EM-MMIL","IV","Epithelial cells","IV",379,0.860968262173717,0.960982034714691
"test","Categorical EM-MMIL","IV","Oligodendrocytes","IV",2,0.846424714595056,0.947421190227485
"test","Categorical EM-MMIL","IV","Myeloid cells","IV",146,0.81800593771779,0.930666250039861
"test","Categorical EM-MMIL","IV","NK cells","IV",42,0.747812259377316,0.802213237975305
"test","Categorical EM-MMIL","IV","Undetermined","IV",8,0.728201663359498,0.770237083761392
"test","Categorical EM-MMIL","IV","B lymphocytes","IV",77,0.653995699100717,0.713769641612348
"test","Categorical EM-MMIL","IV","T lymphocytes","IV",211,0.636862379214484,0.712972866524386
"test","Categorical EM-MMIL","IV","Fibroblasts","IV",5,0.545675496295397,0.726662323197629
"test","Categorical MCEM-MMIL","I","MAST cells","I",21,0.798084265037748,0.905601265997093
"test","Categorical MCEM-MMIL","I","Endothelial cells","I",6,0.687119615340511,0.883250333873759
"test","Categorical MCEM-MMIL","I","Epithelial cells","I",55,0.672331372615319,0.997219955096525
"test","Categorical MCEM-MMIL","I","Myeloid cells","I",212,0.435427586887195,0.74480711365133
"test","Categorical MCEM-MMIL","I","Fibroblasts","I",20,0.428171618312331,0.542439292747522
"test","Categorical MCEM-MMIL","I","B lymphocytes","I",43,0.411253043589171,0.498127500818964
"test","Categorical MCEM-MMIL","I","T lymphocytes","I",273,0.389893003095494,0.484135357749903
"test","Categorical MCEM-MMIL","I","Undetermined","I",1,0.378925779394595,0.378925779394595
"test","Categorical MCEM-MMIL","I","NK cells","I",55,0.306149526872469,0.387236805043645
"test","Categorical MCEM-MMIL","I","Fibroblasts","II_III",20,0.314314386859043,0.519128794850609
"test","Categorical MCEM-MMIL","I","Undetermined","II_III",1,0.00742460462847322,0.00742460462847322
"test","Categorical MCEM-MMIL","I","MAST cells","II_III",21,0.00741027610217475,0.00912871666248638
