"iter","delta","mean_q_advanced","train_logloss_inherited"
1,0.04549085701261,0.3,1.08506647512744
2,0.0449371455237781,0.3,1.09245544698957
3,0.041105587593877,0.299691503002627,1.14226384796499
4,0.0330150049768235,0.297332423691145,1.23343347032864
5,0.0229230260842335,0.292631189199971,1.36031378270223
6,0.0144575073204393,0.287504746993459,1.50163595934905
7,0.00882582068042576,0.283030026540031,1.63138455416869
8,0.00557356516223133,0.279457440886295,1.74263216657974
9,0.00425542553270323,0.276681585892568,1.86989528506609
10,0.00571902579623518,0.274516161771459,2.03489366591856
11,0.00451038634092917,0.272893486149625,2.12095341694837
12,0.00340639776564754,0.271749283960331,2.18687110847724
13,0.00264400027435285,0.270919455129806,2.2387494787883
14,0.00203152685257659,0.270304791180219,2.28024125108787
15,0.00118177942159002,0.269800925112055,2.31420369862601
16,0.000916158602707154,0.269419242579957,2.34328127095649
17,0.00082244255470187,0.269121577451023,2.3686516396922
18,0.000747862003133431,0.268884969084823,2.39064698860684
19,0.000683784714894983,0.268691748712928,2.40959848433763
20,0.000626077702672842,0.268528254167526,2.42577242800707
21,0.000578554466646768,0.268389123577233,2.43979115593223
22,0.000538720487766685,0.268269146297155,2.45191821002603
23,0.000500345302994942,0.268166469896677,2.46249578020941
24,0.000470123133959933,0.268080046094841,2.47183231483548
25,0.000444765894735663,0.268007446422108,2.48009545156169
26,0.000424495509259529,0.267947926003907,2.4874737451141
27,0.000407023166555609,0.267900586087636,2.49411682176011
28,0.000391788181087682,0.267863863676374,2.50020887253437
29,0.000377295417614458,0.267836799245314,2.50562911609326
30,0.000364216311337415,0.267818010425134,2.51062350000531
