"iter","delta","mean_entropy","mean_mc_entropy","train_logloss_inherited","train_accuracy_inherited"
1,0.0954823914360697,0.572253042756955,0.786391897736456,0.720007510352971,0.772516428295323
2,0.0479770206303794,0.413064577385242,0.535287635101258,0.574858965852021,0.779474294549671
3,0.0248347303166323,0.326995722302273,0.380362073038673,0.542717143101855,0.787011982991882
4,0.0145119972692683,0.27891683473487,0.303107186634058,0.552783423739118,0.787785079242366
5,0.00943758316856982,0.249206620749173,0.255412912165054,0.576907774771814,0.792230382682644
6,0.00730203973889583,0.228234288261247,0.225810575247435,0.6072938449339,0.794742945496714
7,0.00452768866372628,0.217342054995469,0.211169024109037,0.631330143879733,0.796482412060301
8,0.00382193443309182,0.209605192988437,0.200470199544556,0.652738050734473,0.798415152686509
9,0.00316573571039762,0.20411081149126,0.192757419362175,0.672472200020056,0.798221878623889
10,0.00254351633478056,0.200464868150285,0.188054084072891,0.685909520923539,0.799381522999613
11,0.00273315016314668,0.197234020277131,0.184420146208981,0.698632992940088,0.800541167375338
12,0.00227233117662159,0.196126259032577,0.181584848390529,0.705460457921721,0.802087359876305
13,0.00197660039693809,0.194237200771818,0.179451218342872,0.71282976345087,0.80092771550058
14,0.00213206158103262,0.193434743526448,0.178444560329749,0.71901229753607,0.801507537688442
15,0.00199623742361559,0.192848145051057,0.177613846347814,0.724536281475124,0.801894085813684
16,0.00208206792691072,0.191829400011496,0.176568606893269,0.729979869294137,0.803053730189409
17,0.00194730340891849,0.19171857811989,0.176093426973241,0.73054422769542,0.803053730189409
18,0.00165067122149269,0.191837349530379,0.176881267071886,0.730641838199928,0.802667182064167
19,0.00174699397913335,0.191645659115602,0.175753730129118,0.732457264052987,0.802667182064167
20,0.00210161542893241,0.191732537674187,0.17650735302118,0.731801768281577,0.802667182064167
21,0.00185068889649707,0.191524540798919,0.17582676347884,0.730222662730678,0.803053730189409
22,0.00195583418742751,0.191451003711411,0.176879726504407,0.73028777770517,0.801507537688442
23,0.00189722548577838,0.189987775817032,0.175515058300403,0.734913595350513,0.801120989563201
24,0.00191740627510363,0.190510892213327,0.175467518862459,0.734712691319778,0.802473908001546
25,0.00173177040588235,0.190348493031567,0.175612753947967,0.735037364867164,0.801507537688442
26,0.00159999929131599,0.190002873838097,0.17527340595224,0.737615451536273,0.802473908001546
27,0.00192414329708666,0.190361501076525,0.17535698837925,0.735378939652609,0.801894085813684
28,0.0018609841215414,0.190879225290162,0.177102243018254,0.735324752481227,0.802280633938925
29,0.00180734000242723,0.19041127636814,0.174518471574255,0.735616941907003,0.802087359876305
30,0.00183751209345548,0.190356968871252,0.176526989439194,0.737426187133942,0.802860456126788
