"iter","delta","mean_entropy","mean_mc_entropy","train_logloss_inherited","train_accuracy_inherited"
1,0.0826835418535242,0.626258164859458,0.786391897736456,0.80663450686375,0.713761113258601
2,0.046191064786732,0.493994675208228,0.589772373394347,0.698579904727447,0.721878623888674
3,0.0268177249323794,0.413491577023327,0.459236571820628,0.681508194329321,0.724777734827986
4,0.0173155171408127,0.362861125703811,0.384502413973489,0.701219095293881,0.727483571704677
5,0.0121955786295588,0.327728528309505,0.332775646995399,0.734875296672203,0.729416312330885
6,0.00845448175392791,0.304020513043315,0.29860911945948,0.771207134393911,0.730769230769231
7,0.00570669645113712,0.289867863725783,0.283655987643232,0.80069454756023,0.733861615771163
8,0.00467922677366101,0.277875963847612,0.268281743638512,0.82973103568135,0.734248163896405
9,0.00363494470207626,0.26929813381347,0.259111910967613,0.854158751938816,0.733668341708543
10,0.00309589781317223,0.262326880475595,0.248686712268217,0.876490350794086,0.734054889833784
11,0.00229852097479686,0.257419460110271,0.243725613444115,0.893557092029313,0.735021260146888
12,0.0020745993286449,0.25440182842094,0.238781429627788,0.903674773462085,0.735987630459992
13,0.00174158170696388,0.251611551062798,0.234743021916533,0.913373079527203,0.734827986084267
14,0.00156098896560389,0.249306628056572,0.233851523338547,0.921383227917547,0.736374178585234
15,0.00136944663304509,0.247450102479134,0.231523126376033,0.928552735450831,0.735021260146888
16,0.00135711599120003,0.245380522435385,0.228862376077909,0.937012758868051,0.734634712021647
17,0.0013575627665266,0.244198137417754,0.226724430624032,0.940889936881862,0.734634712021647
18,0.00153276030013836,0.242323904105122,0.225725997179049,0.948543006774902,0.73540780827213
19,0.0012372040238741,0.241527272524439,0.224179753051952,0.95241022033837,0.736180904522613
20,0.00148672896107817,0.242092709418276,0.225836787157817,0.949551532464016,0.735987630459992
21,0.00160560369751411,0.240442118723923,0.222695855725746,0.956877092634016,0.736374178585234
22,0.00141795512275117,0.24026007489025,0.223063689910976,0.958575120350103,0.736567452647855
23,0.00157809825774694,0.240086313255095,0.223018002031994,0.959773258231143,0.736180904522613
24,0.00137616272937525,0.241216880141935,0.22441116298285,0.955588366363492,0.736567452647855
25,0.00146756731139672,0.240657053350377,0.224616007604465,0.9559499410924,0.737147274835717
26,0.00109331582918752,0.240865818867525,0.223631807125693,0.9562100031504,0.737147274835717
27,0.00129021736377925,0.240065116294835,0.223252637208985,0.957668819987091,0.736954000773096
28,0.00145974574183956,0.240026052885257,0.223955338058644,0.957993975160375,0.737147274835717
29,0.00130348359696085,0.239048273045773,0.222042691704377,0.963121264497208,0.738306919211442
30,0.00111851397477885,0.239095877027202,0.223171518970654,0.963339799303508,0.737340548898338
