"split","model","Stage_cat","Cell_type","class","n_cells","mean_prob","q90_prob"
"test","Categorical EM-MMIL","IV","Epithelial cells","I",379,0.0215147353412559,0.0481574402527426
"test","Categorical EM-MMIL","IV","Undetermined","I",8,0.000775947745799762,0.00212858972800376
"test","Categorical EM-MMIL","IV","Oligodendrocytes","I",2,0.000433676667489922,0.000551114728481057
"test","Categorical EM-MMIL","IV","T lymphocytes","II_III",211,0.0313598587938178,0.0674037245429375
"test","Categorical EM-MMIL","IV","Oligodendrocytes","II_III",2,0.0250662257754349,0.0439590872982275
"test","Categorical EM-MMIL","IV","Fibroblasts","II_III",5,0.0224127904396121,0.0568820506805827
"test","Categorical EM-MMIL","IV","B lymphocytes","II_III",77,0.013868488423142,0.0283111144000346
"test","Categorical EM-MMIL","IV","Myeloid cells","II_III",146,0.00871040241451235,0.0267240198695573
"test","Categorical EM-MMIL","IV","NK cells","II_III",42,0.00210781226270684,0.0044008152935151
"test","Categorical EM-MMIL","IV","Epithelial cells","II_III",379,0.00115005347216619,0.0027491098917602
"test","Categorical EM-MMIL","IV","Undetermined","II_III",8,9.00946924351628e-05,0.000220803524983316
"test","Categorical EM-MMIL","IV","Undetermined","IV",8,0.999133957561765,0.999942562581258
"test","Categorical EM-MMIL","IV","Epithelial cells","IV",379,0.977335211186578,0.999594865695028
"test","Categorical EM-MMIL","IV","Oligodendrocytes","IV",2,0.974500097557075,0.993275521018877
"test","Categorical EM-MMIL","IV","Myeloid cells","IV",146,0.907989305645507,0.999999908284792
"test","Categorical EM-MMIL","IV","NK cells","IV",42,0.854452091396278,0.993570452633608
"test","Categorical EM-MMIL","IV","T lymphocytes","IV",211,0.755251882921984,0.994499752219592
"test","Categorical EM-MMIL","IV","B lymphocytes","IV",77,0.588101262319304,0.955300366746261
"test","Categorical EM-MMIL","IV","Fibroblasts","IV",5,0.526046786714156,0.992709316233611
"test","Categorical MCEM-MMIL","I","Endothelial cells","I",6,0.973848609873119,0.999136261911313
"test","Categorical MCEM-MMIL","I","MAST cells","I",21,0.752236161205711,0.892885710198125
"test","Categorical MCEM-MMIL","I","B lymphocytes","I",43,0.68376357830051,0.956092179298747
"test","Categorical MCEM-MMIL","I","Epithelial cells","I",55,0.670643146713858,0.994139521033785
"test","Categorical MCEM-MMIL","I","NK cells","I",55,0.603041002116601,0.928054508934056
"test","Categorical MCEM-MMIL","I","T lymphocytes","I",273,0.601265164939637,0.938068629677699
"test","Categorical MCEM-MMIL","I","Fibroblasts","I",20,0.533072799641136,0.977259037223263
"test","Categorical MCEM-MMIL","I","Myeloid cells","I",212,0.526573062186482,0.909284217430527
"test","Categorical MCEM-MMIL","I","Undetermined","I",1,0.00594378983363664,0.00594378983363664
"test","Categorical MCEM-MMIL","I","Fibroblasts","II_III",20,0.368126984567272,0.666657029813147
"test","Categorical MCEM-MMIL","I","Myeloid cells","II_III",212,0.10852063530677,0.24497833522646
"test","Categorical MCEM-MMIL","I","T lymphocytes","II_III",273,0.0855202354440805,0.237715092339649
"test","Categorical MCEM-MMIL","I","MAST cells","II_III",21,0.0816779858580054,0.160959978947497
"test","Categorical MCEM-MMIL","I","B lymphocytes","II_III",43,0.0471676154058796,0.160829693706124
"test","Categorical MCEM-MMIL","I","Epithelial cells","II_III",55,0.0182343796801984,0.0335569177957574
"test","Categorical MCEM-MMIL","I","NK cells","II_III",55,0.00810921914727599,0.0161011588775318
"test","Categorical MCEM-MMIL","I","Endothelial cells","II_III",6,0.00249472884972942,0.00595353455570985
"test","Categorical MCEM-MMIL","I","Undetermined","II_III",1,0.00117279685908846,0.00117279685908846
"test","Categorical MCEM-MMIL","I","Undetermined","IV",1,0.992883413307275,0.992883413307275
"test","Categorical MCEM-MMIL","I","NK cells","IV",55,0.388849778736123,0.857537019566682
"test","Categorical MCEM-MMIL","I","Myeloid cells","IV",212,0.364906302506748,0.996936338613679
"test","Categorical MCEM-MMIL","I","T lymphocytes","IV",273,0.313214599616283,0.863516700385973
"test","Categorical MCEM-MMIL","I","Epithelial cells","IV",55,0.311122473605943,0.995084554803369
"test","Categorical MCEM-MMIL","I","B lymphocytes","IV",43,0.269068806293611,0.687590614925576
"test","Categorical MCEM-MMIL","I","MAST cells","IV",21,0.166085852936284,0.394521983104883
"test","Categorical MCEM-MMIL","I","Fibroblasts","IV",20,0.098800215791592,0.335704472153545
"test","Categorical MCEM-MMIL","I","Endothelial cells","IV",6,0.0236566612771514,0.0693514236792387
"test","Categorical MCEM-MMIL","II_III","Endothelial cells","I",1,0.996001328093421,0.996001328093421
"test","Categorical MCEM-MMIL","II_III","T lymphocytes","I",108,0.511563775237379,0.902471615317557
"test","Categorical MCEM-MMIL","II_III","B lymphocytes","I",35,0.50414548309463,0.928914546535577
"test","Categorical MCEM-MMIL","II_III","MAST cells","I",6,0.495319017242652,0.835525742020692
"test","Categorical MCEM-MMIL","II_III","Myeloid cells","I",54,0.440238062739189,0.835795076556315
"test","Categorical MCEM-MMIL","II_III","Fibroblasts","I",3,0.395734248165907,0.777367857481936
"test","Categorical MCEM-MMIL","II_III","Epithelial cells","I",41,0.388863901042211,0.990651138285577
"test","Categorical MCEM-MMIL","II_III","NK cells","I",20,0.36995456305562,0.7023977941782
"test","Categorical MCEM-MMIL","II_III","Undetermined","I",2,0.0196385815410864,0.0292245504625382
"test","Categorical MCEM-MMIL","II_III","Fibroblasts","II_III",3,0.536353317955991,0.861212716828178
"test","Categorical MCEM-MMIL","II_III","Myeloid cells","II_III",54,0.123597823666637,0.26208887370955
"test","Categorical MCEM-MMIL","II_III","T lymphocytes","II_III",108,0.0679882721060297,0.183476151604735
"test","Categorical MCEM-MMIL","II_III","B lymphocytes","II_III",35,0.0546208847814177,0.160844798001735
"test","Categorical MCEM-MMIL","II_III","MAST cells","II_III",6,0.0496601633170198,0.0852874381539652
"test","Categorical MCEM-MMIL","II_III","Epithelial cells","II_III",41,0.0134247346507573,0.0466568851691021
"test","Categorical MCEM-MMIL","II_III","NK cells","II_III",20,0.00506090467982346,0.0105032655622921
"test","Categorical MCEM-MMIL","II_III","Undetermined","II_III",2,0.00415491489496383,0.00606990049884096
"test","Categorical MCEM-MMIL","II_III","Endothelial cells","II_III",1,0.00172840986187329,0.00172840986187329
"test","Categorical MCEM-MMIL","II_III","Undetermined","IV",2,0.97620650356395,0.987707458089279
"test","Categorical MCEM-MMIL","II_III","NK cells","IV",20,0.624984532264557,0.922518418658216
"test","Categorical MCEM-MMIL","II_III","Epithelial cells","IV",41,0.597711364307032,0.999955216554085
"test","Categorical MCEM-MMIL","II_III","MAST cells","IV",6,0.455020819440328,0.960360193206353
"test","Categorical MCEM-MMIL","II_III","B lymphocytes","IV",35,0.441233632123952,0.868418441809696
"test","Categorical MCEM-MMIL","II_III","Myeloid cells","IV",54,0.436164113594174,0.999331786729833
"test","Categorical MCEM-MMIL","II_III","T lymphocytes","IV",108,0.420447952656591,0.886117148688953
"test","Categorical MCEM-MMIL","II_III","Fibroblasts","IV",3,0.0679124338781018,0.144053538758535
"test","Categorical MCEM-MMIL","II_III","Endothelial cells","IV",1,0.00227026204470565,0.00227026204470565
