experiment_id,comparison,delta,mean_delta,median_delta,pct_positive
EXP023_binary_ICAk50_glmnet_lasso_seed2026,MCEM - EM-MMIL,0,-0.0013888888888888592,0,11.11111111111111
EXP024_binary_ICAk50_xgboost_seed2026,MCEM - Naive,0.03333333333333299,-0.041666666666666574,-0.03333333333333299,2.7777777777777777
EXP024_binary_ICAk50_xgboost_seed2026,MCEM - EM-MMIL,0.03333333333333299,-0.0013888888888888592,0,11.11111111111111
EXP025_binary_NMFk10_glmnet_ridge_seed2026,MCEM - Naive,-0.06666666666666698,-0.041666666666666574,-0.03333333333333299,2.7777777777777777
EXP025_binary_NMFk10_glmnet_ridge_seed2026,MCEM - EM-MMIL,0,-0.0013888888888888592,0,11.11111111111111
EXP026_binary_NMFk10_glmnet_elasticnet_seed2026,MCEM - Naive,0,-0.041666666666666574,-0.03333333333333299,2.7777777777777777
EXP026_binary_NMFk10_glmnet_elasticnet_seed2026,MCEM - EM-MMIL,0,-0.0013888888888888592,0,11.11111111111111
EXP027_binary_NMFk10_glmnet_lasso_seed2026,MCEM - Naive,-0.03333333333333399,-0.041666666666666574,-0.03333333333333299,2.7777777777777777
EXP027_binary_NMFk10_glmnet_lasso_seed2026,MCEM - EM-MMIL,0,-0.0013888888888888592,0,11.11111111111111
EXP028_binary_NMFk10_xgboost_seed2026,MCEM - Naive,0,-0.041666666666666574,-0.03333333333333299,2.7777777777777777
EXP028_binary_NMFk10_xgboost_seed2026,MCEM - EM-MMIL,0,-0.0013888888888888592,0,11.11111111111111
EXP029_binary_NMFk20_glmnet_ridge_seed2026,MCEM - Naive,0,-0.041666666666666574,-0.03333333333333299,2.7777777777777777
EXP029_binary_NMFk20_glmnet_ridge_seed2026,MCEM - EM-MMIL,0,-0.0013888888888888592,0,11.11111111111111
EXP030_binary_NMFk20_glmnet_elasticnet_seed2026,MCEM - Naive,-0.03333333333333299,-0.041666666666666574,-0.03333333333333299,2.7777777777777777
EXP030_binary_NMFk20_glmnet_elasticnet_seed2026,MCEM - EM-MMIL,-0.03333333333333299,-0.0013888888888888592,0,11.11111111111111
EXP031_binary_NMFk20_glmnet_lasso_seed2026,MCEM - Naive,-0.06666666666666698,-0.041666666666666574,-0.03333333333333299,2.7777777777777777
EXP031_binary_NMFk20_glmnet_lasso_seed2026,MCEM - EM-MMIL,-0.03333333333333399,-0.0013888888888888592,0,11.11111111111111
EXP032_binary_NMFk20_xgboost_seed2026,MCEM - Naive,-0.13333333333333297,-0.041666666666666574,-0.03333333333333299,2.7777777777777777
EXP032_binary_NMFk20_xgboost_seed2026,MCEM - EM-MMIL,-0.06666666666666599,-0.0013888888888888592,0,11.11111111111111
EXP033_binary_NMFk50_glmnet_ridge_seed2026,MCEM - Naive,-0.03333333333333299,-0.041666666666666574,-0.03333333333333299,2.7777777777777777
EXP033_binary_NMFk50_glmnet_ridge_seed2026,MCEM - EM-MMIL,0,-0.0013888888888888592,0,11.11111111111111
EXP034_binary_NMFk50_glmnet_elasticnet_seed2026,MCEM - Naive,0,-0.041666666666666574,-0.03333333333333299,2.7777777777777777
EXP034_binary_NMFk50_glmnet_elasticnet_seed2026,MCEM - EM-MMIL,0,-0.0013888888888888592,0,11.11111111111111
EXP035_binary_NMFk50_glmnet_lasso_seed2026,MCEM - Naive,0,-0.041666666666666574,-0.03333333333333299,2.7777777777777777
EXP035_binary_NMFk50_glmnet_lasso_seed2026,MCEM - EM-MMIL,0,-0.0013888888888888592,0,11.11111111111111
EXP036_binary_NMFk50_xgboost_seed2026,MCEM - Naive,0,-0.041666666666666574,-0.03333333333333299,2.7777777777777777
EXP036_binary_NMFk50_xgboost_seed2026,MCEM - EM-MMIL,0,-0.0013888888888888592,0,11.11111111111111
