"iter","delta","mean_q_advanced","train_logloss_inherited"
1,0.0524853679939291,0.3,1.01479137227919
2,0.032427254492775,0.3,1.01666356680767
3,0.0215336476106755,0.299990723052402,1.0482443705292
4,0.0154723749632347,0.299966826527251,1.08371815239389
5,0.011873600832498,0.299940621206553,1.11610428172455
6,0.00957440003970852,0.299913846217929,1.14408321361082
7,0.00806505021766862,0.2999026841913,1.16793989561322
8,0.00705326518537756,0.299899802437005,1.18836086667025
9,0.00635694552583673,0.299897540559575,1.20603108456478
10,0.00585715752138042,0.299890337284077,1.22153492366128
11,0.00549375995862237,0.299879621879265,1.235361395527
12,0.00521746470896967,0.299868132811235,1.2478987090109
13,0.0049824297489273,0.299829236999199,1.2594633061259
14,0.00475271833715487,0.299743492512548,1.27028671351244
15,0.00449591757438975,0.299580036260572,1.28050854757658
16,0.00421245341679246,0.299343423152804,1.29050817350498
17,0.00390474559197255,0.299071282449046,1.29985550959095
18,0.00360422880625964,0.298780413940202,1.30862549665573
19,0.0033246595375974,0.298495856643026,1.31685590773177
20,0.00308934436783118,0.298247182426951,1.32456939100609
21,0.00287804923541806,0.298017777273281,1.33179046698742
22,0.00267558255794557,0.297787784120089,1.33854955643203
23,0.00246848338203543,0.297538747850058,1.34484663584709
24,0.00225040226594653,0.297256025645996,1.35066096405404
25,0.00203419780364796,0.296958534404774,1.3559653045528
26,0.00182221205913595,0.296648873587335,1.36073543296192
27,0.00163128201737077,0.296350765119338,1.36499582756005
28,0.00147175639821058,0.296080820105786,1.36878996609816
29,0.00134062159478007,0.295843252045598,1.37218019502523
30,0.00123563502062035,0.295642141228728,1.37523312330493
