"iter","delta","mean_q_advanced","mean_q_mc_advanced","train_logloss_inherited"
1,0.0523105523413381,0.3,0.302538177988415,1.01048601874247
2,0.0336173761596273,0.3,0.300642443391259,1.0167014606404
3,0.0219872819203103,0.299984156725228,0.297883096366509,1.05506503376174
4,0.0160442141410979,0.299952855771333,0.299462875197472,1.09005799763492
5,0.0121163809502212,0.299934230696217,0.300737230121116,1.11855963270306
6,0.00909268937794465,0.299895234569,0.299062664560295,1.14601286046962
7,0.00858339775295715,0.299895089873627,0.299368088467615,1.16781357130724
8,0.00773551357883874,0.299886000947003,0.299873617693523,1.18889618173639
9,0.00801449454693477,0.299893413823577,0.300842548709847,1.20503418961663
10,0.00765654473057781,0.299851175146222,0.299273301737757,1.22735771435701
11,0.00574213087830644,0.29986267917961,0.301411269088994,1.23173545031732
12,0.00607976407767199,0.2998056738952,0.299273301737757,1.24812458287555
13,0.00633538313814029,0.29970816275951,0.299041600842549,1.26323617161691
14,0.00557815499215592,0.299460775278571,0.297725118483412,1.2776639094735
15,0.0052958675580136,0.299356362429275,0.299547130068457,1.28067684811179
16,0.0052943354310863,0.299117512208405,0.299768299104792,1.29189072230902
17,0.0046153021926118,0.298835884515288,0.299778830963665,1.29898345204789
18,0.00468140324545475,0.298549150670784,0.299041600842549,1.31055081093984
19,0.00526226330811901,0.298060301683493,0.297893628225382,1.32442295368863
20,0.00454655708065849,0.297498963106855,0.295860979462875,1.33733634418974
21,0.00348510062315627,0.297656781658267,0.297588204318062,1.34291769158617
22,0.00342835721486769,0.29752491772863,0.298051606108478,1.3473849893574
23,0.0038680816597374,0.297300860107261,0.297588204318062,1.35033095134806
24,0.00367217051196136,0.296795362181301,0.296461295418641,1.35631516628435
25,0.00318727232524605,0.29642484031042,0.296187467087941,1.36558458107307
26,0.00244584074363377,0.296358248198024,0.296650868878357,1.37114892082397
27,0.00298464562995347,0.295799507317955,0.295566087414429,1.37232480060132
28,0.00247347981854676,0.296074723706944,0.296608741442865,1.37077766238383
29,0.00265869199402764,0.296087524402793,0.297367035281727,1.36691811866808
30,0.00285221242193467,0.295525230608468,0.296145339652449,1.37475024025734
