"iter","delta","mean_q_advanced","train_logloss_inherited"
1,0.0514278862785441,0.3,1.0417616570502
2,0.0383701828024138,0.3,1.0569810041108
3,0.0285324627440552,0.299957739619023,1.12637638685358
4,0.0216092028125269,0.299803896395456,1.22310959309403
5,0.0167059716500533,0.299627846347602,1.32949593371625
6,0.0134472526236356,0.299512298642892,1.43467780102843
7,0.0112600694371043,0.299442039689586,1.5329721929985
8,0.00988577265329026,0.299421455596814,1.62081271944807
9,0.00898887473734035,0.299425417503135,1.69768219062751
10,0.00837437154383834,0.299404136281242,1.76515165305444
11,0.00791285100529792,0.2992778585831,1.82597929076522
12,0.00731138635136111,0.298824238615015,1.8863869189517
13,0.00662353488169222,0.298022991944575,1.94566781134716
14,0.00584532194921844,0.296849538303309,2.00681252196905
15,0.00509064533275641,0.295569231345718,2.07176623050986
16,0.00435697650290162,0.294401660580714,2.13849112492284
17,0.00351681249303763,0.293445547842448,2.20336675873892
18,0.00291342938241405,0.292711625000665,2.26074102716178
19,0.00246368920852582,0.292178578689268,2.31005910049525
20,0.00209580498082555,0.291796379860201,2.35229714251485
21,0.00178969693553953,0.291521834317746,2.38823558329873
22,0.00155163039410141,0.291327766257188,2.41830914971257
23,0.00135912796092028,0.291198315752962,2.44345312135655
24,0.00120468738635904,0.29111797496252,2.46472590107508
25,0.00107858151333897,0.291076152350237,2.4829315511689
26,0.000975388746147333,0.291062495610498,2.49879358913411
27,0.000889419241485791,0.291066675014357,2.51284764275909
28,0.000814728554547484,0.291080235356444,2.52541982058416
29,0.000749388075861587,0.291098335541621,2.53672288650561
30,0.000691939822911821,0.291117548151698,2.54702043067028
