"iter","delta","mean_q_advanced","train_logloss_inherited"
1,0.0540410171328837,0.3,1.0164517353035
2,0.0363786550979118,0.299996700234449,1.02467843832968
3,0.0254984765764749,0.299900240045792,1.07874322154029
4,0.0185316125160722,0.299833902233076,1.14684023123645
5,0.0141467212293916,0.299797306499257,1.2146783378129
6,0.0113316047959172,0.299774850900809,1.27690901218664
7,0.00930660108322593,0.299760287907243,1.33312671418751
8,0.00784485577446647,0.299742522951203,1.3823030845836
9,0.00686835807002155,0.29972879792981,1.42457488977772
10,0.00616869771602425,0.299713865231324,1.46069258449944
11,0.00564330618628401,0.299692266497418,1.49209198260401
12,0.0052424139600493,0.299659800511646,1.51927143608653
13,0.00492546010063217,0.299618532698649,1.54324980489345
14,0.00465954492204955,0.299566845682479,1.56503146182803
15,0.00437343298447369,0.299499007097624,1.58513930416923
16,0.00413234877413752,0.299428914380933,1.60337211862654
17,0.00392711895391179,0.299342058305696,1.61994271622063
18,0.00368380065392536,0.29924135390262,1.63535199036802
19,0.00340006239595375,0.299118197588304,1.64949472222869
20,0.00316624496133707,0.298977596117959,1.66183087297857
21,0.00297899065179274,0.298830222934398,1.67263194807897
22,0.00282008039539794,0.298690529372125,1.68238140031061
23,0.00267712032817505,0.29854833669766,1.69133612431586
24,0.00254668459815345,0.29839530874424,1.6996859090222
25,0.00242672182442004,0.298233259191425,1.70715488788385
26,0.00231768813146608,0.298068035367212,1.71419738256423
27,0.0022220319182569,0.297905533593903,1.72124602122629
28,0.00212760293276517,0.297729408102537,1.72804117334588
29,0.00203405078217116,0.297540026493651,1.73432301862575
30,0.00194370546445659,0.297349217407421,1.74048073030697
