"iter","delta","mean_q_advanced","train_logloss_inherited"
1,0.0390442592422683,0.3,1.02360529490086
2,0.0294198359750403,0.3,1.0220455713755
3,0.0249260270541025,0.3,1.03867863884629
4,0.0228152274253924,0.3,1.06802897052777
5,0.0202431647941656,0.3,1.09973279947136
6,0.0206861627701118,0.3,1.1398133643814
7,0.0185217452407565,0.299938047690546,1.18581336466242
8,0.0167261298874614,0.299366232199644,1.23735717977866
9,0.0141652449465004,0.297350292041022,1.29144644291837
10,0.0117529873082459,0.293326381855582,1.34768013101991
11,0.00839702924113023,0.287675482090508,1.40199715118153
12,0.0075141311006134,0.283854536432555,1.45557611048067
13,0.00705217346000994,0.283284142809345,1.48971890823715
14,0.00624455487264868,0.280932891978174,1.526135217118
15,0.0050330510357067,0.278578828679194,1.5649299903763
16,0.00448363397017927,0.277304805359126,1.58595656214408
17,0.00444098709107224,0.276164473517451,1.61341198450986
18,0.00410916501727482,0.27495695895588,1.63596305948991
19,0.00386958639774254,0.274471166013092,1.65648757674139
20,0.00351209113198277,0.273803464122311,1.67479738987387
21,0.00329731102937558,0.274012527230986,1.68830945102147
22,0.00327153882359525,0.273838399074062,1.6957244697873
23,0.00352698657089122,0.273609413320344,1.69702137380624
24,0.00289644532548135,0.273729777727336,1.70057658597263
25,0.00351181015827432,0.273453845638547,1.70448749605843
26,0.00342889324617615,0.272812396615486,1.71001871197731
27,0.00318388832961436,0.27315194430005,1.71282177131795
28,0.00305570374907823,0.273604595710757,1.71148203149984
29,0.00325715681473504,0.273517492599267,1.71815828157911
30,0.00358571044376294,0.273714891137983,1.71756580794042
