"iter","delta","mean_q_advanced","mean_q_mc_advanced","train_logloss_inherited"
1,0.046985054742224,0.3,0.302538177988415,1.06318822438386
2,0.0418018913777985,0.3,0.300452869931543,1.07742903420257
3,0.0336970651693801,0.299966582862146,0.298599262769879,1.13847319539724
4,0.0268130978182821,0.299664112568504,0.297862032648762,1.22986353746943
5,0.0195675741938992,0.299290538887368,0.298894154818325,1.33648657337121
6,0.0151386273551578,0.29874670600064,0.299304897314376,1.44949213694543
7,0.0123668908720008,0.298342646571337,0.299368088467615,1.56628128228772
8,0.0108611248781234,0.297679391107209,0.297619799894681,1.69740502996998
9,0.00931394499817156,0.297226610202776,0.298809899947341,1.81344257581926
10,0.00798769099970415,0.295892597534411,0.296914165350184,1.90979841592486
11,0.00677009328634781,0.294292338990241,0.296071616640337,1.98870700710235
12,0.00606715595875221,0.29307421172692,0.295745129015271,2.10742451958348
13,0.00565414305860467,0.291145139102287,0.292238020010532,2.24247492833064
14,0.00486404578127119,0.290381940052739,0.29144813059505,2.32145802038281
15,0.00460764601570979,0.290351231336274,0.291290152711954,2.39626539458875
16,0.00426983320591217,0.289605765431049,0.290279094260137,2.48298388542494
17,0.00347573147770812,0.288632652353557,0.288941548183254,2.55909463123822
18,0.00233852972987479,0.287705334797613,0.287909426013691,2.5962940968214
19,0.00255372675603798,0.287374922085568,0.287761979989468,2.61300954526263
20,0.00210199614174777,0.287236503765196,0.287919957872565,2.67274126718492
21,0.00190972967189892,0.286370348833843,0.28650868878357,2.70830065445184
22,0.00182401992412212,0.285367514086381,0.284855186940495,2.76484271332623
23,0.00200281891859402,0.286031997429879,0.286013691416535,2.74083820128213
24,0.00157259210818045,0.28576849559522,0.285687203791469,2.75060402233574
25,0.00129511861143422,0.285809421604325,0.285739863085835,2.77769706089048
26,0.00122596848961765,0.28601664097822,0.286182201158504,2.75563354072946
27,0.00185323619001533,0.285306387377932,0.284834123222749,2.78955120630086
28,0.00156933044875198,0.285224249414926,0.284834123222749,2.79870182544044
29,0.000923065518875557,0.285092377918721,0.284528699315429,2.76769623252144
30,0.00124246482854854,0.284635326628706,0.284265402843602,2.79465202356693
