"split","model","Stage_cat","Cell_type","class","n_cells","mean_prob","q90_prob"
"test","Categorical EM-MMIL","IV","Undetermined","I",8,0.337323185618787,0.384579473280807
"test","Categorical EM-MMIL","IV","Oligodendrocytes","I",2,0.330701125074773,0.386663430108019
"test","Categorical EM-MMIL","IV","B lymphocytes","I",77,0.32237215432552,0.384281359079434
"test","Categorical EM-MMIL","IV","Oligodendrocytes","II_III",2,0.358146293825377,0.384384711799336
"test","Categorical EM-MMIL","IV","B lymphocytes","II_III",77,0.344322729439535,0.415650687345819
"test","Categorical EM-MMIL","IV","Fibroblasts","II_III",5,0.34153490980115,0.379551321481765
"test","Categorical EM-MMIL","IV","Myeloid cells","II_III",146,0.336854036251186,0.391244805057275
"test","Categorical EM-MMIL","IV","NK cells","II_III",42,0.335401926483207,0.388543317798565
"test","Categorical EM-MMIL","IV","T lymphocytes","II_III",211,0.329515043065148,0.388598329014555
"test","Categorical EM-MMIL","IV","Epithelial cells","II_III",379,0.328774567584478,0.400951366613998
"test","Categorical EM-MMIL","IV","Undetermined","II_III",8,0.319998643433411,0.379271380002461
"test","Categorical EM-MMIL","IV","Undetermined","IV",8,0.342678170947802,0.405518311525092
"test","Categorical EM-MMIL","IV","B lymphocytes","IV",77,0.333305116234945,0.395632615498796
"test","Categorical EM-MMIL","IV","T lymphocytes","IV",211,0.331874306569638,0.394145731986762
"test","Categorical EM-MMIL","IV","Epithelial cells","IV",379,0.330697893184155,0.398603055125785
"test","Categorical EM-MMIL","IV","Myeloid cells","IV",146,0.325442164396723,0.370752336959695
"test","Categorical EM-MMIL","IV","NK cells","IV",42,0.322298733119916,0.372187273875749
"test","Categorical EM-MMIL","IV","Oligodendrocytes","IV",2,0.31115258109985,0.340876468159136
"test","Categorical EM-MMIL","IV","Fibroblasts","IV",5,0.301734740938394,0.339142851944273
"test","Categorical MCEM-MMIL","I","Undetermined","I",1,0.396670520320705,0.396670520320705
"test","Categorical MCEM-MMIL","I","Endothelial cells","I",6,0.362222191159615,0.433156352356371
"test","Categorical MCEM-MMIL","I","B lymphocytes","I",43,0.337643297849805,0.401347845129219
"test","Categorical MCEM-MMIL","I","Myeloid cells","I",212,0.336953591586993,0.401740115190062
"test","Categorical MCEM-MMIL","I","T lymphocytes","I",273,0.336901233049431,0.412854161656004
"test","Categorical MCEM-MMIL","I","MAST cells","I",21,0.336009982651704,0.394122466344879
"test","Categorical MCEM-MMIL","I","NK cells","I",55,0.33239516824403,0.397998161486549
"test","Categorical MCEM-MMIL","I","Epithelial cells","I",55,0.322758324258461,0.399644849594196
"test","Categorical MCEM-MMIL","I","Fibroblasts","I",20,0.30289638245719,0.395895274136648
"test","Categorical MCEM-MMIL","I","Fibroblasts","II_III",20,0.355315182508431,0.429926698724942
"test","Categorical MCEM-MMIL","I","MAST cells","II_III",21,0.33633055735617,0.401437977591755
"test","Categorical MCEM-MMIL","I","Epithelial cells","II_III",55,0.335792966522823,0.418164702470918
"test","Categorical MCEM-MMIL","I","Myeloid cells","II_III",212,0.332715134524198,0.412617049140312
"test","Categorical MCEM-MMIL","I","Endothelial cells","II_III",6,0.328312967934308,0.408300982732315
"test","Categorical MCEM-MMIL","I","NK cells","II_III",55,0.3244540852767,0.387695484166449
"test","Categorical MCEM-MMIL","I","T lymphocytes","II_III",273,0.324392149589466,0.395885692059909
