"iter","delta","mean_q_advanced","mean_q_mc_advanced","train_logloss_inherited"
1,0.0539329920793305,0.3,0.302538177988415,1.01222461091178
2,0.037442493482874,0.299997199197182,0.300400210637177,1.02461719101972
3,0.0255168050473637,0.299882304185964,0.298662453923117,1.08392007298195
4,0.0192112204099122,0.299788795675978,0.298009478672986,1.1567361937339
5,0.0135058184204706,0.299739688432723,0.299505002632965,1.21915913908809
6,0.0123805485272653,0.29965259093822,0.297493417588204,1.28054220036442
7,0.0094947234610033,0.299682751931989,0.299799894681411,1.33248977474624
8,0.00976984913015643,0.299678751986437,0.300084254870985,1.38687134091853
9,0.00785315551917603,0.299675417782215,0.300505529225908,1.44197120389438
10,0.0072255617500335,0.299587223872841,0.298936282253818,1.48667733454482
11,0.00629598020686938,0.299624118250074,0.299957872564508,1.51338283931173
12,0.00672184461301079,0.29951553583962,0.298293838862559,1.5554962381222
13,0.00566116592315801,0.299622024705819,0.300073723012112,1.58165254469733
14,0.00632806062409723,0.299457333847624,0.29812532912059,1.61943547508852
15,0.00589806277741362,0.299493929541535,0.298852027382833,1.63966370793024
16,0.00536084205612113,0.299343938824853,0.298009478672986,1.67268745115932
17,0.00529297813684033,0.299409337219382,0.298936282253818,1.68977444055698
18,0.00473480666507347,0.299491940497745,0.299926276987888,1.71343033706671
19,0.00478933285056196,0.299328559136542,0.299041600842549,1.73155746315618
20,0.00578722442903118,0.29917624689699,0.29856766719326,1.75849472810265
21,0.00479409293101,0.298987902259425,0.298041074249605,1.79418565543886
22,0.00474896861844341,0.298861939696369,0.297977883096367,1.82208115774656
23,0.00420790937206961,0.298929137023902,0.298736176935229,1.8334192267482
24,0.00386445962482328,0.298635938612212,0.298304370721432,1.85734144781035
25,0.00407582643189664,0.298644410208727,0.298894154818325,1.87923462822828
26,0.0036159855211987,0.297975358975104,0.29724065297525,1.89202618248465
27,0.00332016787479267,0.298011799652441,0.297767245918905,1.90803185806176
28,0.00274848086943205,0.297996285603433,0.298135860979463,1.91763949853956
29,0.0029004737632319,0.297749259476187,0.297798841495524,1.9291819936295
30,0.00231621406750041,0.29712128340593,0.296566614007372,1.93389171046133
