"iter","delta","mean_entropy","mean_mc_entropy","train_logloss_inherited","train_accuracy_inherited"
1,0.0828147975114314,0.625838579836817,0.786391897736456,0.806151757303209,0.714534209509084
2,0.046200096478549,0.493446976187914,0.589276323426955,0.698265983542978,0.721878623888674
3,0.0267326208728404,0.413106612646255,0.458517597712269,0.681512231421161,0.724777734827986
4,0.017098644532043,0.363062965090598,0.384052192958294,0.701115902044177,0.72825666795516
5,0.0117879878107123,0.328832744993629,0.333136628482495,0.733324859290415,0.728836490143023
6,0.00783561369639699,0.306649379585001,0.29957039893905,0.766050767514055,0.729609586393506
7,0.00506951561329284,0.293931421138873,0.286270451901471,0.790798596590921,0.73308851952068
8,0.00399905149225826,0.283486886925669,0.272144412876023,0.813932542761642,0.734248163896405
9,0.0029638797449762,0.276765688311346,0.264088256759604,0.831260637226632,0.733281793583301
10,0.00290309390271099,0.270676866021931,0.255393392306797,0.848123570951124,0.73289524545806
11,0.00208082466487005,0.266212909187371,0.251147728130384,0.862169317012881,0.73308851952068
12,0.00207114292144816,0.263949513640864,0.247173979211903,0.870397378932231,0.735021260146888
13,0.00196046788346881,0.261002092906022,0.243496936600502,0.880186075085575,0.734827986084267
14,0.00142444753381904,0.259524444049514,0.243186935323087,0.88430268622232,0.735214534209509
15,0.00137612691148909,0.257830109516692,0.240595089910508,0.888633468016437,0.734248163896405
16,0.00127626906166307,0.256075396063639,0.238284222000177,0.895818229042101,0.733861615771163
17,0.00144197251653994,0.254832276332373,0.236124432942339,0.900315358970016,0.734634712021647
18,0.00166154455788483,0.253643822621843,0.235735277713385,0.905398148530984,0.734441437959026
19,0.00124693815336714,0.252816436384092,0.234401484341779,0.909268291896039,0.734634712021647
20,0.00135013971909859,0.252667367526421,0.236031877317223,0.911046702476343,0.73540780827213
21,0.00153698628871331,0.250941264918408,0.232530659664061,0.918311808206762,0.735021260146888
22,0.00113789642871047,0.250818501217233,0.232820123477691,0.920023024162168,0.734441437959026
23,0.00157516844968862,0.250140682317102,0.232032193505224,0.924213598144506,0.735214534209509
24,0.00141393012490964,0.250935648169922,0.234107086858978,0.922780960691619,0.73540780827213
25,0.00136168640630266,0.250094471953243,0.232306103435797,0.925447620927941,0.73540780827213
26,0.00107732803647736,0.250348354603807,0.231936129995463,0.924799714753622,0.73540780827213
27,0.0012101445541042,0.249375851841161,0.231881276709032,0.929557365232857,0.734634712021647
28,0.00152531734980788,0.249696550964289,0.23249330837322,0.929528392013262,0.73540780827213
29,0.00116742151875257,0.248642452562719,0.230727961262677,0.933292856403554,0.73540780827213
30,0.00124271461890176,0.248901990718887,0.232545161679344,0.931084179774485,0.733668341708543
