"iter","delta","mean_q_advanced","mean_q_mc_advanced","train_logloss_inherited"
1,0.0516039584871623,0.3,0.302538177988415,1.03703951704472
2,0.0393029713510074,0.3,0.300558188520274,1.05674627288531
3,0.0284607592313605,0.299941089324717,0.299347024749868,1.12828494226249
4,0.0222656340240731,0.299742006480833,0.299252238020011,1.22222303737222
5,0.016019203713861,0.299566363919138,0.299684044233807,1.31910559408728
6,0.0125998020679643,0.29941636140856,0.298620326487625,1.41155064514543
7,0.010546742906057,0.299453811506463,0.300115850447604,1.4846563441301
8,0.0103508122691772,0.299424065111229,0.299894681411269,1.56810870587895
9,0.00877146573329864,0.299528387568294,0.301516587677725,1.62527125415322
10,0.00912682174162014,0.299554162452659,0.301653501843075,1.6829110542302
11,0.00728603822265919,0.299480480360959,0.300821484992101,1.73653915854563
12,0.00763664437142403,0.299209540313514,0.299789362822538,1.79506215110632
13,0.00616060609800497,0.298725216286415,0.29969457609268,1.8412363170196
14,0.00590845816694189,0.297714598458344,0.298167456556082,1.89396992940929
15,0.00518627685179914,0.296631668045608,0.297535545023697,1.94058413595801
16,0.00471424865974926,0.295541437755507,0.296745655608215,2.0092614267416
17,0.00306869995573856,0.294627079942959,0.295629278567667,2.03978602265686
18,0.00256688541648304,0.294185071944276,0.295555555555556,2.08309885708958
19,0.00216242122521185,0.293730498190659,0.295113217482886,2.10195418459499
20,0.00222858395443661,0.293056145836113,0.293817798841496,2.12981237057755
21,0.00225214569859945,0.292575391876588,0.293206951026856,2.13769620421527
22,0.00162010446803272,0.292296825882583,0.292775144813059,2.1436266441185
23,0.00171480586039384,0.292272429413904,0.292827804107425,2.14808285993448
24,0.00125982317803216,0.292256394941122,0.292817272248552,2.16168807111062
25,0.00104485444935263,0.292169746677105,0.292659294365456,2.17474644962902
26,0.00153199012193306,0.291785745476162,0.29202738283307,2.18583915253327
27,0.00122667195634711,0.291727075404863,0.291711427066877,2.1945851070524
28,0.00119929410618672,0.292018710936467,0.292438125329121,2.19211499978631
29,0.00102377088327744,0.291807433450625,0.292111637704055,2.19044373651224
30,0.00170167707749057,0.292001885116229,0.292343338599263,2.19981313891943
