"iter","delta","mean_q_advanced","train_logloss_inherited"
1,0.0445477610248869,0.3,1.07284496747814
2,0.0409141605731755,0.3,1.08732511174831
3,0.0354659529157192,0.3,1.14814118787143
4,0.0291454571275408,0.3,1.23884861522579
5,0.0232560343661227,0.3,1.34685146054134
6,0.0186650365981361,0.29991373817606,1.46343441174736
7,0.0149731809099835,0.299068470217018,1.58296900072504
8,0.0114134231074005,0.29717067468248,1.70124388713724
9,0.00812294036978171,0.294407764493371,1.81236519393942
10,0.00564711414697055,0.29159907644341,1.90933351464356
11,0.00400363766483215,0.289136178718112,1.98776271276884
12,0.00296164815991317,0.287145439027098,2.04772395860247
13,0.00227540155805727,0.285580692018065,2.0919929929135
14,0.00181243911243921,0.284363381618332,2.12431707758643
15,0.00146532713179447,0.283410559227229,2.14764461515135
16,0.00121323371489322,0.282648018112655,2.16470892859081
17,0.00101990976937807,0.28202276797626,2.17730998578435
18,0.000868034386580498,0.281497252858206,2.18673188665293
19,0.000747278070588873,0.281047140549121,2.19387051083493
20,0.00064666971831722,0.280651462131587,2.19935627363639
21,0.000562995893779699,0.280300368480778,2.20360784136823
22,0.000493294638365299,0.279986730873004,2.2069369169089
23,0.000435161874832998,0.279705854201273,2.20957261136535
24,0.000384630543462195,0.279451474174439,2.21168268513245
25,0.000341219364352139,0.279220717393865,2.21337968801558
26,0.000303677623768344,0.279011361203754,2.21475053969642
27,0.000270887684845708,0.278821306968975,2.21584397004127
28,0.000242387121200924,0.278648832035862,2.21673923268947
29,0.00021746117864625,0.27849228963953,2.21747239669765
30,0.000195335856501395,0.278349893411253,2.21807065185292
