"iter","delta","mean_q_advanced","mean_q_mc_advanced","train_logloss_inherited"
1,0.0424267026071343,0.3,0.302538177988415,0.98704664001627
2,0.0309785447874547,0.3,0.301263823064771,0.990577518473838
3,0.0258658520395178,0.3,0.29856766719326,1.01538208668822
4,0.0242519114306042,0.3,0.29942074776198,1.04483069390153
5,0.0218235693893196,0.3,0.298862559241706,1.08552728966589
6,0.0196120442857429,0.3,0.299599789362823,1.12608731843657
7,0.0186706265912844,0.3,0.300705634544497,1.1750165674069
8,0.0166890356466369,0.3,0.299610321221696,1.22324589708419
9,0.0165388613401573,0.299966968758118,0.300252764612954,1.27558176764436
10,0.0143877679636423,0.298139458390851,0.300231700895208,1.33235539329473
11,0.0113956729136409,0.295819217146877,0.298051606108478,1.38518416824351
12,0.0109703513295546,0.293549004842838,0.295629278567667,1.44382066038922
13,0.00851772141210502,0.291773005586974,0.295123749341759,1.48774501533666
14,0.0082855085660335,0.290473472869662,0.292827804107425,1.54283417456069
15,0.00669373344779302,0.288399764581233,0.289752501316482,1.58260278203451
16,0.00661012623824964,0.286932694267468,0.287614533965245,1.62572742353968
17,0.00628882883818553,0.287297085936532,0.288530805687204,1.66527112284501
18,0.00577573688567925,0.286423118454599,0.286498156924697,1.70071627285352
19,0.00514276745689606,0.286775345568225,0.287130068457083,1.7346832721674
20,0.0057008909367724,0.286882962766707,0.286803580832017,1.7551824020991
21,0.0045142407987608,0.286756166736055,0.287604002106372,1.77329388813084
22,0.00444425242492776,0.286351732889082,0.28711953659821,1.80781106116895
23,0.00474061389240518,0.285695042113733,0.286298051606108,1.82980517803583
24,0.00429670950270639,0.284522417394163,0.285097419694576,1.85977998264747
25,0.00370971911939994,0.2832990537057,0.284075829383886,1.88837469359613
26,0.00374907610537782,0.282311889217742,0.283349131121643,1.90899742096485
27,0.0034058221998563,0.28138144887721,0.282822538177988,1.91349283540613
28,0.00290890625051177,0.280683654311727,0.281421800947867,1.94009263142187
29,0.00310431704486169,0.279804065347898,0.281421800947867,1.95235235886812
30,0.00287815376933141,0.279206374658247,0.280252764612954,1.97424890650567
