"experiment_id","task_type","categorical_scheme","feature_method","n_components","model_name","backend","glmnet_alpha","seed","rho","label_strength","mcem_samples"
"EXP058_categorical_three_stage_ICAk50_glmnet_elasticnet_seed2026","categorical","three_stage","ICA",50,"glmnet_elasticnet","glmnet",0.5,2026,0.7,0.7,30
"EXP059_categorical_three_stage_ICAk50_glmnet_lasso_seed2026","categorical","three_stage","ICA",50,"glmnet_lasso","glmnet",1,2026,0.7,0.7,30
"EXP060_categorical_three_stage_ICAk50_xgboost_seed2026","categorical","three_stage","ICA",50,"xgboost","xgboost",NA,2026,0.7,0.7,30
"EXP061_categorical_three_stage_NMFk10_glmnet_ridge_seed2026","categorical","three_stage","NMF",10,"glmnet_ridge","glmnet",0,2026,0.7,0.7,30
"EXP062_categorical_three_stage_NMFk10_glmnet_elasticnet_seed2026","categorical","three_stage","NMF",10,"glmnet_elasticnet","glmnet",0.5,2026,0.7,0.7,30
"EXP063_categorical_three_stage_NMFk10_glmnet_lasso_seed2026","categorical","three_stage","NMF",10,"glmnet_lasso","glmnet",1,2026,0.7,0.7,30
"EXP064_categorical_three_stage_NMFk10_xgboost_seed2026","categorical","three_stage","NMF",10,"xgboost","xgboost",NA,2026,0.7,0.7,30
"EXP065_categorical_three_stage_NMFk20_glmnet_ridge_seed2026","categorical","three_stage","NMF",20,"glmnet_ridge","glmnet",0,2026,0.7,0.7,30
"EXP066_categorical_three_stage_NMFk20_glmnet_elasticnet_seed2026","categorical","three_stage","NMF",20,"glmnet_elasticnet","glmnet",0.5,2026,0.7,0.7,30
"EXP067_categorical_three_stage_NMFk20_glmnet_lasso_seed2026","categorical","three_stage","NMF",20,"glmnet_lasso","glmnet",1,2026,0.7,0.7,30
"EXP068_categorical_three_stage_NMFk20_xgboost_seed2026","categorical","three_stage","NMF",20,"xgboost","xgboost",NA,2026,0.7,0.7,30
"EXP069_categorical_three_stage_NMFk50_glmnet_ridge_seed2026","categorical","three_stage","NMF",50,"glmnet_ridge","glmnet",0,2026,0.7,0.7,30
"EXP070_categorical_three_stage_NMFk50_glmnet_elasticnet_seed2026","categorical","three_stage","NMF",50,"glmnet_elasticnet","glmnet",0.5,2026,0.7,0.7,30
"EXP071_categorical_three_stage_NMFk50_glmnet_lasso_seed2026","categorical","three_stage","NMF",50,"glmnet_lasso","glmnet",1,2026,0.7,0.7,30
"EXP072_categorical_three_stage_NMFk50_xgboost_seed2026","categorical","three_stage","NMF",50,"xgboost","xgboost",NA,2026,0.7,0.7,30
